category,epoch,loss,bce,dice,identity,residual_l1,normal_fp
wood,1,1.8810654878616333,0.5203031301498413,0.8475950360298157,0.0,0.0,0.5131672620773315
wood,20,1.8741040229797363,0.5138782262802124,0.8478524684906006,5.949583282927051e-06,0.0019393821712583303,0.5104219913482666
wood,40,1.8667945861816406,0.5073651671409607,0.8490008115768433,3.32838244503364e-05,0.003702720860019326,0.5066593885421753
wood,60,1.8604369163513184,0.501589298248291,0.8499854803085327,8.210187661461532e-05,0.005477821454405785,0.5032202005386353
wood,80,1.8546481132507324,0.4965437650680542,0.8507407903671265,0.00014548283070325851,0.007235295604914427,0.4998372495174408
wood,100,1.8490679264068604,0.49215203523635864,0.8510478734970093,0.00021531921811401844,0.009100335650146008,0.49633699655532837
wood,120,1.8437390327453613,0.4877730906009674,0.8515287637710571,0.0003012887027580291,0.010922891087830067,0.4929116666316986
wood,140,1.838532567024231,0.4836905002593994,0.8518057465553284,0.0003959058958571404,0.012809626758098602,0.4894349277019501
wood,160,1.8334057331085205,0.4796946942806244,0.8520514965057373,0.0005044671124778688,0.014701377600431442,0.4859490990638733
wood,180,1.8283108472824097,0.4758131206035614,0.8522237539291382,0.0006262224051170051,0.016613861545920372,0.48240771889686584
wood,200,1.8231924772262573,0.47199374437332153,0.8523509502410889,0.0007651820778846741,0.018451375886797905,0.4788660705089569
