q_source,q_direction,q_name,num_categories,mean_auroc_detector_D,mean_auroc_crop_M,mean_auroc_quality_Q_alone,mean_auroc_V3_naive,mean_auroc_V4_quality,mean_auroc_V5_fixed_qc,mean_auroc_V6_adaptive,mean_delta_V4_minus_V3,mean_delta_V6_minus_V4,mean_delta_V6_minus_V3,wins_V4_over_V3,wins_V6_over_V4,wins_V6_over_V3,worst_category_delta_V4_minus_V3,worst_category
num_candidates_x,direct,num_candidates_x__direct,4,0.7853284416491964,0.6524318658280923,0.46549615653389237,0.828633822501747,0.8304419986023761,0.837583857442348,0.8304419986023759,0.0018081761006289165,-2.7755575615628914e-17,0.0018081761006288888,1,0,1,-0.009433962264150941,vial
num_candidates_x,inverted,num_candidates_x__inverted,4,0.7853284416491964,0.6524318658280923,0.5345038434661076,0.828633822501747,0.8006795946890287,0.8008647798742139,0.8000314465408805,-0.02795422781271839,-0.0006481481481481477,-0.02860237596086654,0,0,0,-0.046666666666666745,fruit_jelly
full_image_score,direct,full_image_score__direct,4,0.7853284416491964,0.6524318658280923,0.6458892382948987,0.828633822501747,0.8504856743535989,0.8340793151642208,0.8500227113906358,0.021851851851851817,-0.00046296296296297057,0.021388888888888846,1,0,1,-0.02000000000000013,fruit_jelly
full_image_score,inverted,full_image_score__inverted,4,0.7853284416491964,0.6524318658280923,0.35411076170510136,0.828633822501747,0.8130922431865828,0.8130363382250175,0.8121663172606569,-0.015541579315164228,-0.0009259259259259411,-0.01646750524109017,3,0,3,-0.10185185185185197,sheet_metal
full_image_normal_score,direct,full_image_normal_score__direct,4,0.7853284416491964,0.6524318658280923,0.533885394828791,0.828633822501747,0.8160272536687632,0.8194636617749826,0.8157651991614256,-0.012606568832983944,-0.0002620545073375169,-0.012868623340321461,1,0,1,-0.036666666666666736,fruit_jelly
full_image_normal_score,inverted,full_image_normal_score__inverted,4,0.7853284416491964,0.6524318658280923,0.4661146051712089,0.828633822501747,0.8272798742138365,0.8254175401816911,0.8273567435359889,-0.001353948287910578,7.686932215236753e-05,-0.0012770789657582104,1,1,1,-0.01467505241090139,vial
full_image_anomaly_score,direct,full_image_anomaly_score__direct,4,0.7853284416491964,0.6524318658280923,0.5421977638015374,0.828633822501747,0.8236180992313068,0.8204979035639414,0.8238190076869323,-0.005015723270440309,0.00020090845562545367,-0.004814814814814855,2,1,1,-0.030000000000000138,fruit_jelly
full_image_anomaly_score,inverted,full_image_anomaly_score__inverted,4,0.7853284416491964,0.6524318658280923,0.4578022361984626,0.828633822501747,0.8256586303284418,0.826574074074074,0.8259206848357793,-0.0029751921733053854,0.0002620545073375169,-0.0027131376659678685,1,1,1,-0.020370370370370483,sheet_metal
tight_top1_score,direct,tight_top1_score__direct,4,0.7853284416491964,0.6524318658280923,0.5418710691823899,0.828633822501747,0.8207494758909853,0.8128860936408107,0.8187281621243885,-0.007884346610761761,-0.002021313766596783,-0.009905660377358544,0,0,0,-0.02000000000000013,fruit_jelly
tight_top1_score,inverted,tight_top1_score__inverted,4,0.7853284416491964,0.6524318658280923,0.4581289308176101,0.828633822501747,0.830609713487072,0.8296208944793851,0.830609713487072,0.0019758909853249407,0.0,0.0019758909853249407,2,0,2,-0.023333333333333428,fruit_jelly
tight_topk_max_score,direct,tight_topk_max_score__direct,4,0.7853284416491964,0.6524318658280923,0.4857966457023061,0.828633822501747,0.808633822501747,0.8135953878406709,0.8079699510831586,-0.0200000000000001,-0.0006638714185883687,-0.02066387141858847,1,1,2,-0.06296296296296322,sheet_metal
tight_topk_max_score,inverted,tight_topk_max_score__inverted,4,0.7853284416491964,0.6524318658280923,0.5142033542976939,0.828633822501747,0.8413661774982529,0.838046820405311,0.8407180293501048,0.012732354996505851,-0.0006481481481481199,0.012084206848357731,2,0,2,-0.01666666666666683,fruit_jelly
tight_topk_mean_score,direct,tight_topk_mean_score__direct,4,0.7853284416491964,0.6524318658280923,0.5081149545772188,0.828633822501747,0.8042662473794548,0.8067278127183789,0.8035412299091544,-0.02436757512229218,-0.0007250174703004597,-0.02509259259259264,2,0,1,-0.057407407407407574,sheet_metal
tight_topk_mean_score,inverted,tight_topk_mean_score__inverted,4,0.7853284416491964,0.6524318658280923,0.4918850454227813,0.828633822501747,0.8407634521313767,0.8358385744234802,0.8407634521313767,0.012129629629629574,0.0,0.012129629629629574,2,0,2,-0.01333333333333353,fruit_jelly
context_top1_score,direct,context_top1_score__direct,4,0.7853284416491964,0.6524318658280923,0.5709521313766597,0.828633822501747,0.8054979035639412,0.8133857442348009,0.8052969951083159,-0.02313591893780581,-0.00020090845562542592,-0.023336827393431236,1,1,1,-0.08333333333333348,sheet_metal
context_top1_score,inverted,context_top1_score__inverted,4,0.7853284416491964,0.6524318658280923,0.4290478686233403,0.828633822501747,0.8471243885394828,0.8433595387840671,0.8466614255765199,0.018490566037735773,-0.0004629629629629428,0.01802760307477283,2,0,2,-0.030000000000000138,fruit_jelly
context_topk_max_score,direct,context_topk_max_score__direct,4,0.7853284416491964,0.6524318658280923,0.6279751921733053,0.828633822501747,0.8387403913347309,0.8242732354996507,0.8384626135569533,0.010106568832983859,-0.0002777777777777657,0.009828791055206093,3,1,3,-0.00666666666666671,fruit_jelly
context_topk_max_score,inverted,context_topk_max_score__inverted,4,0.7853284416491964,0.6524318658280923,0.3720248078266946,0.828633822501747,0.8030363382250175,0.8196069182389938,0.8030363382250175,-0.025597484276729587,0.0,-0.025597484276729587,1,0,1,-0.04814814814814827,sheet_metal
context_topk_mean_score,direct,context_topk_mean_score__direct,4,0.7853284416491964,0.6524318658280923,0.6524318658280923,0.828633822501747,0.8300978336827394,0.8215863032844166,0.8305607966457024,0.0014640111809923195,0.00046296296296297057,0.00192697414395529,3,1,3,-0.0033333333333332993,fruit_jelly
context_topk_mean_score,inverted,context_topk_mean_score__inverted,4,0.7853284416491964,0.6524318658280923,0.34756813417190774,0.828633822501747,0.819916142557652,0.8349126484975541,0.8185429769392034,-0.008717679944095086,-0.0013731656184486352,-0.010090845562543721,1,0,1,-0.046666666666666745,fruit_jelly
candidate_score_mean_max,direct,candidate_score_mean_max__direct,4,0.7853284416491964,0.6524318658280923,0.3819723969252271,0.828633822501747,0.8191194968553459,0.8225960866526904,0.8193815513626834,-0.0095143256464012,0.00026205450733754465,-0.009252271139063656,3,1,3,-0.08888888888888902,sheet_metal
candidate_score_mean_max,inverted,candidate_score_mean_max__inverted,4,0.7853284416491964,0.6524318658280923,0.6180276030747729,0.828633822501747,0.8316631726065687,0.8301659678546471,0.8318483577917539,0.003029350104821721,0.00018518518518520488,0.0032145352900069257,1,1,2,-0.043333333333333446,fruit_jelly
candidate_score_mean_mean,direct,candidate_score_mean_mean__direct,4,0.7853284416491964,0.6524318658280923,0.39060796645702306,0.828633822501747,0.8149406009783368,0.8215024458420684,0.815125786163522,-0.013693221523410237,0.00018518518518517713,-0.01350803633822506,3,1,3,-0.08703703703703713,sheet_metal
candidate_score_mean_mean,inverted,candidate_score_mean_mean__inverted,4,0.7853284416491964,0.6524318658280923,0.609392033542977,0.828633822501747,0.8391299790356395,0.8308752620545073,0.838296645702306,0.010496156533892353,-0.0008333333333333526,0.009662823200559001,2,0,2,-0.023333333333333317,fruit_jelly
candidate_score_mean_min,direct,candidate_score_mean_min__direct,4,0.7853284416491964,0.6524318658280923,0.40414570230607966,0.828633822501747,0.8123183088749126,0.8195580013976241,0.8119322152341021,-0.016315513626834366,-0.00038609364081065856,-0.016701607267645024,2,1,2,-0.09074074074074079,sheet_metal
candidate_score_mean_min,inverted,candidate_score_mean_min__inverted,4,0.7853284416491964,0.6524318658280923,0.5958542976939203,0.828633822501747,0.8431568832983927,0.8306429070580015,0.8420457721872816,0.014523060796645615,-0.0011111111111111183,0.013411949685534497,2,0,2,-0.02333333333333354,fruit_jelly
candidate_score_max_mean,direct,candidate_score_max_mean__direct,4,0.7853284416491964,0.6524318658280923,0.48435359888190077,0.828633822501747,0.8009346610761705,0.8166457023060797,0.8009346610761705,-0.027699161425576574,0.0,-0.027699161425576574,1,0,1,-0.09444444444444455,sheet_metal
candidate_score_max_mean,inverted,candidate_score_max_mean__inverted,4,0.7853284416491964,0.6524318658280923,0.5156464011180992,0.828633822501747,0.8469357092941998,0.8324930118798044,0.8469199860237596,0.018301886792452787,-1.5723270440221038e-05,0.018286163522012566,3,2,3,-0.00666666666666671,fruit_jelly
candidate_score_max_min,direct,candidate_score_max_min__direct,4,0.7853284416491964,0.6524318658280923,0.48509608665269044,0.828633822501747,0.8047309573724668,0.8126484975541579,0.8042837176799441,-0.023902865129280304,-0.000447239692522694,-0.024350104821802998,1,0,1,-0.07777777777777795,sheet_metal
candidate_score_max_min,inverted,candidate_score_max_min__inverted,4,0.7853284416491964,0.6524318658280923,0.5149039133473096,0.828633822501747,0.8490653389238295,0.8311495457721872,0.8484014675052411,0.020431516422082407,-0.0006638714185883965,0.01976764500349401,3,1,3,-0.01333333333333342,fruit_jelly
tight_candidate_mask_density_max,direct,tight_candidate_mask_density_max__direct,4,0.7853284416491964,0.6524318658280923,,0.828633822501747,,,,,,,0,0,0,,fruit_jelly
tight_candidate_mask_density_max,inverted,tight_candidate_mask_density_max__inverted,4,0.7853284416491964,0.6524318658280923,,0.828633822501747,,,,,,,0,0,0,,fruit_jelly
tight_candidate_mask_density_mean,direct,tight_candidate_mask_density_mean__direct,4,0.7853284416491964,0.6524318658280923,,0.828633822501747,,,,,,,0,0,0,,fruit_jelly
tight_candidate_mask_density_mean,inverted,tight_candidate_mask_density_mean__inverted,4,0.7853284416491964,0.6524318658280923,,0.828633822501747,,,,,,,0,0,0,,fruit_jelly
tight_candidate_mask_density_min,direct,tight_candidate_mask_density_min__direct,4,0.7853284416491964,0.6524318658280923,,0.828633822501747,,,,,,,0,0,0,,fruit_jelly
tight_candidate_mask_density_min,inverted,tight_candidate_mask_density_min__inverted,4,0.7853284416491964,0.6524318658280923,,0.828633822501747,,,,,,,0,0,0,,fruit_jelly
context_candidate_mask_density_max,direct,context_candidate_mask_density_max__direct,4,0.7853284416491964,0.6524318658280923,,0.828633822501747,,,,,,,0,0,0,,fruit_jelly
