q_source,q_direction,q_name,num_categories,mean_auroc_detector_D,mean_auroc_crop_M,mean_auroc_quality_Q_alone,mean_auroc_V3_naive,mean_auroc_V4_quality,mean_auroc_V5_fixed_qc,mean_auroc_V6_adaptive,mean_delta_V4_minus_V3,mean_delta_V6_minus_V4,mean_delta_V6_minus_V3,wins_V4_over_V3,wins_V6_over_V4,wins_V6_over_V3,worst_category_delta_V4_minus_V3,worst_category
context_candidate_mask_density_max,inverted,context_candidate_mask_density_max__inverted,4,0.7853284416491964,0.6524318658280923,,0.828633822501747,,,,,,,0,0,0,,fruit_jelly
context_candidate_mask_density_mean,direct,context_candidate_mask_density_mean__direct,4,0.7853284416491964,0.6524318658280923,,0.828633822501747,,,,,,,0,0,0,,fruit_jelly
context_candidate_mask_density_mean,inverted,context_candidate_mask_density_mean__inverted,4,0.7853284416491964,0.6524318658280923,,0.828633822501747,,,,,,,0,0,0,,fruit_jelly
context_candidate_mask_density_min,direct,context_candidate_mask_density_min__direct,4,0.7853284416491964,0.6524318658280923,,0.828633822501747,,,,,,,0,0,0,,fruit_jelly
context_candidate_mask_density_min,inverted,context_candidate_mask_density_min__inverted,4,0.7853284416491964,0.6524318658280923,,0.828633822501747,,,,,,,0,0,0,,fruit_jelly
map_area_max,direct,map_area_max__direct,4,0.7853284416491964,0.6524318658280923,0.5987779524807826,0.828633822501747,0.8356446540880504,0.8310779175401817,0.8341631726065688,0.007010831586303279,-0.0014814814814815003,0.005529350104821779,2,0,2,-0.03333333333333344,fruit_jelly
map_area_max,inverted,map_area_max__inverted,4,0.7853284416491964,0.6524318658280923,0.4012220475192173,0.828633822501747,0.803929070580014,0.8186495457721873,0.8034503843466108,-0.024704751921733104,-0.00047868623340321936,-0.025183438155136323,1,2,1,-0.08703703703703713,sheet_metal
map_area_mean,direct,map_area_mean__direct,4,0.7853284416491964,0.6524318658280923,0.5690644654088051,0.828633822501747,0.8132844164919637,0.8176222921034243,0.8132844164919637,-0.015349406009783406,0.0,-0.015349406009783406,1,0,1,-0.043333333333333446,fruit_jelly
map_area_mean,inverted,map_area_mean__inverted,4,0.7853284416491964,0.6524318658280923,0.430935534591195,0.828633822501747,0.8183001397624039,0.8310255066387142,0.8178371767994409,-0.010333682739343153,-0.00046296296296297057,-0.010796645702306124,1,0,1,-0.022222222222222254,sheet_metal
map_area_min,direct,map_area_min__direct,4,0.7853284416491964,0.6524318658280923,0.4631341719077568,0.828633822501747,0.7928703703703703,0.8089657582110412,0.7933333333333333,-0.03576345213137669,0.00046296296296297057,-0.03530048916841372,0,1,0,-0.07000000000000017,fruit_jelly
map_area_min,inverted,map_area_min__inverted,4,0.7853284416491964,0.6524318658280923,0.5368658280922431,0.828633822501747,0.8296907756813416,0.8341754018169113,0.8285796645702306,0.0010569531795945886,-0.0011111111111110905,-5.4157931516501945e-05,2,1,2,-0.027253668763102756,vial
num_candidates_y,direct,num_candidates_y__direct,4,0.7853284416491964,0.6524318658280923,0.46549615653389237,0.828633822501747,0.8304419986023761,0.837583857442348,0.8304419986023759,0.0018081761006289165,-2.7755575615628914e-17,0.0018081761006288888,1,0,1,-0.009433962264150941,vial
num_candidates_y,inverted,num_candidates_y__inverted,4,0.7853284416491964,0.6524318658280923,0.5345038434661076,0.828633822501747,0.8006795946890287,0.8008647798742139,0.8000314465408805,-0.02795422781271839,-0.0006481481481481477,-0.02860237596086654,0,0,0,-0.046666666666666745,fruit_jelly
