file,suffix,readable,num_sample_rows,num_cols,category_col,ad2_categories_found,ad2_coverage_count,image_id_col,label_col,detector_score_col,vlm_score_col,quality_col,consistency_col,has_image_id,has_label,has_detector_score,has_vlm_score,has_quality,has_consistency,source_role,qcr_assembly_value,notes
results/analysis/conservative_residual_calibration_sweep/cfg01_baseline/MVTecAD/grid/raw_normal_eval_metrics.csv,.csv,True,6.0,4.0,,,0,image_path,,,,,,True,False,False,False,False,False,non_ad2_or_summary,none,
results/analysis/conservative_residual_calibration_sweep/cfg01_baseline/MVTecAD/grid/training_log.csv,.csv,True,4.0,8.0,category,,0,,,,,,,False,False,False,False,False,False,non_ad2_or_summary,none,
results/analysis/conservative_residual_calibration_sweep/cfg01_baseline/MVTecAD/leather/calibrated_abnormal_eval_metrics.csv,.csv,True,23.0,6.0,,,0,image_path,,,,,,True,False,False,False,False,False,non_ad2_or_summary,none,
results/analysis/conservative_residual_calibration_sweep/cfg01_baseline/MVTecAD/leather/calibrated_normal_eval_metrics.csv,.csv,True,8.0,4.0,,,0,image_path,,,,,,True,False,False,False,False,False,non_ad2_or_summary,none,
results/analysis/conservative_residual_calibration_sweep/cfg01_baseline/MVTecAD/leather/raw_abnormal_eval_metrics.csv,.csv,True,23.0,6.0,,,0,image_path,,,,,,True,False,False,False,False,False,non_ad2_or_summary,none,
results/analysis/conservative_residual_calibration_sweep/cfg01_baseline/MVTecAD/leather/raw_normal_eval_metrics.csv,.csv,True,8.0,4.0,,,0,image_path,,,,,,True,False,False,False,False,False,non_ad2_or_summary,none,
results/analysis/conservative_residual_calibration_sweep/cfg01_baseline/MVTecAD/leather/training_log.csv,.csv,True,4.0,8.0,category,,0,,,,,,,False,False,False,False,False,False,non_ad2_or_summary,none,
results/analysis/conservative_residual_calibration_sweep/cfg01_baseline/MVTecAD/screw/calibrated_abnormal_eval_metrics.csv,.csv,True,30.0,6.0,,,0,image_path,,,,,,True,False,False,False,False,False,non_ad2_or_summary,none,
results/analysis/conservative_residual_calibration_sweep/cfg01_baseline/MVTecAD/screw/calibrated_normal_eval_metrics.csv,.csv,True,11.0,4.0,,,0,image_path,,,,,,True,False,False,False,False,False,non_ad2_or_summary,none,
results/analysis/conservative_residual_calibration_sweep/cfg01_baseline/MVTecAD/screw/raw_abnormal_eval_metrics.csv,.csv,True,30.0,6.0,,,0,image_path,,,,,,True,False,False,False,False,False,non_ad2_or_summary,none,
results/analysis/conservative_residual_calibration_sweep/cfg01_baseline/MVTecAD/screw/raw_normal_eval_metrics.csv,.csv,True,11.0,4.0,,,0,image_path,,,,,,True,False,False,False,False,False,non_ad2_or_summary,none,
results/analysis/conservative_residual_calibration_sweep/cfg01_baseline/MVTecAD/screw/training_log.csv,.csv,True,4.0,8.0,category,,0,,,,,,,False,False,False,False,False,False,non_ad2_or_summary,none,
