selector,num_folds,mean_test_V3,mean_test_quality_qcr,mean_test_adaptive_qcr,mean_delta_quality_minus_V3,mean_delta_adaptive_minus_V3,wins_quality_over_V3,wins_adaptive_over_V3,wins_adaptive_over_quality,worst_quality_delta,worst_adaptive_delta,worst_adaptive_category,claim_status
B5_baseline_max_train_adaptive_auroc,4,0.828633822501747,0.8028476589797344,0.8028476589797344,-0.02578616352201265,-0.02578616352201265,1,1,0,-0.1148148148148149,-0.1148148148148149,sheet_metal,do_not_promote
max_train_delta_adaptive,4,0.828633822501747,0.8028476589797344,0.8028476589797344,-0.02578616352201265,-0.02578616352201265,1,1,0,-0.1148148148148149,-0.1148148148148149,sheet_metal,do_not_promote
wins_then_delta_adaptive,4,0.828633822501747,0.8009958071278825,0.8009958071278825,-0.027638015373864497,-0.027638015373864497,1,1,0,-0.1148148148148149,-0.1148148148148149,sheet_metal,do_not_promote
robust_delta_score,4,0.828633822501747,0.800440251572327,0.800440251572327,-0.02819357092942002,-0.02819357092942002,1,1,0,-0.1148148148148149,-0.1148148148148149,sheet_metal,do_not_promote
robust_quality_score,4,0.828633822501747,0.800440251572327,0.800440251572327,-0.02819357092942002,-0.02819357092942002,1,1,0,-0.1148148148148149,-0.1148148148148149,sheet_metal,do_not_promote
worst_delta_then_mean_delta_adaptive,4,0.828633822501747,0.7955171208944793,0.7957023060796645,-0.03311670160726765,-0.032931516422082474,0,0,1,-0.1148148148148149,-0.1148148148148149,sheet_metal,do_not_promote
semantic_candidate_score_max_mean_inverted,4,0.828633822501747,0.8469357092941998,0.8464727463312369,0.018301886792452773,0.017838923829489824,3,3,0,-0.0066666666666667,-0.0066666666666667,fruit_jelly,promote_ad2_qcr_support
semantic_candidate_score_max_min_inverted,4,0.828633822501747,0.8477550663871418,0.8468291404612159,0.019121243885394726,0.018195317959468826,2,2,0,-0.0133333333333334,-0.0133333333333334,fruit_jelly,weak_positive_boundary_support
