q_source,q_direction,q_name,category,num_images,auroc_detector_D,auroc_crop_M,auroc_quality_Q_alone,auroc_V3_naive,auroc_V4_quality,auroc_V5_fixed_qc,auroc_V6_adaptive,delta_V4_minus_V3,delta_V6_minus_V4,delta_V6_minus_V3
num_candidates_x,direct,num_candidates_x__direct,fruit_jelly,40,0.7166666666666667,0.8566666666666668,0.5233333333333333,0.8766666666666668,0.8733333333333334,0.8866666666666668,0.8733333333333334,-0.0033333333333334103,0.0,-0.0033333333333334103
num_candidates_x,direct,num_candidates_x__direct,sheet_metal,57,0.7462962962962963,0.587037037037037,0.4833333333333333,0.7425925925925927,0.7388888888888889,0.7425925925925926,0.7388888888888888,-0.0037037037037037646,-1.1102230246251565e-16,-0.0037037037037038756
num_candidates_x,direct,num_candidates_x__direct,vial,71,0.8731656184486374,0.5230607966457024,0.4360587002096436,0.9182389937106918,0.9088050314465409,0.9203354297693921,0.9088050314465409,-0.009433962264150941,0.0,-0.009433962264150941
num_candidates_x,direct,num_candidates_x__direct,walnuts,75,0.8051851851851852,0.6429629629629628,0.4192592592592593,0.777037037037037,0.8007407407407408,0.8007407407407408,0.8007407407407408,0.023703703703703782,0.0,0.023703703703703782
num_candidates_x,inverted,num_candidates_x__inverted,fruit_jelly,40,0.7166666666666667,0.8566666666666668,0.4766666666666667,0.8766666666666668,0.8300000000000001,0.8433333333333334,0.8300000000000001,-0.046666666666666745,0.0,-0.046666666666666745
num_candidates_x,inverted,num_candidates_x__inverted,sheet_metal,57,0.7462962962962963,0.587037037037037,0.5166666666666666,0.7425925925925927,0.7185185185185186,0.7296296296296296,0.7166666666666667,-0.024074074074074137,-0.0018518518518518823,-0.02592592592592602
num_candidates_x,inverted,num_candidates_x__inverted,vial,71,0.8731656184486374,0.5230607966457024,0.5639412997903565,0.9182389937106918,0.8867924528301887,0.8867924528301887,0.8867924528301887,-0.03144654088050314,0.0,-0.03144654088050314
num_candidates_x,inverted,num_candidates_x__inverted,walnuts,75,0.8051851851851852,0.6429629629629628,0.5807407407407408,0.777037037037037,0.7674074074074074,0.7437037037037036,0.7666666666666667,-0.009629629629629544,-0.0007407407407407085,-0.010370370370370252
full_image_score,direct,full_image_score__direct,fruit_jelly,40,0.7166666666666667,0.8566666666666668,0.7533333333333334,0.8766666666666668,0.8566666666666667,0.87,0.8566666666666667,-0.02000000000000013,0.0,-0.02000000000000013
full_image_score,direct,full_image_score__direct,sheet_metal,57,0.7462962962962963,0.587037037037037,0.712962962962963,0.7425925925925927,0.8574074074074074,0.7888888888888889,0.8555555555555555,0.1148148148148147,-0.0018518518518518823,0.11296296296296282
