category,q_source,q_direction,eta,gamma,auroc_V3_naive,auroc_quality_qcr,auroc_adaptive_qcr,auroc_Q_alone,delta_quality_minus_V3,delta_adaptive_minus_V3,delta_adaptive_minus_quality
sheet_metal,num_candidates_x,inverted,0.05,0.05,0.7425925925925927,0.7407407407407408,0.7370370370370372,0.5166666666666666,-0.0018518518518518823,-0.005555555555555536,-0.0037037037037036535
vial,num_candidates_x,inverted,0.05,0.05,0.9182389937106918,0.9161425576519916,0.9161425576519916,0.5639412997903565,-0.002096436058700246,-0.002096436058700246,0.0
walnuts,num_candidates_x,inverted,0.05,0.05,0.777037037037037,0.7725925925925926,0.7725925925925926,0.5807407407407408,-0.004444444444444362,-0.004444444444444362,0.0
fruit_jelly,num_candidates_x,inverted,0.1,0.0,0.8766666666666668,0.8666666666666666,0.8666666666666666,0.4766666666666667,-0.010000000000000231,-0.010000000000000231,0.0
sheet_metal,num_candidates_x,inverted,0.1,0.0,0.7425925925925927,0.7296296296296296,0.7296296296296296,0.5166666666666666,-0.012962962962963065,-0.012962962962963065,0.0
vial,num_candidates_x,inverted,0.1,0.0,0.9182389937106918,0.9161425576519916,0.9161425576519916,0.5639412997903565,-0.002096436058700246,-0.002096436058700246,0.0
walnuts,num_candidates_x,inverted,0.1,0.0,0.777037037037037,0.7770370370370371,0.7770370370370371,0.5807407407407408,1.1102230246251565e-16,1.1102230246251565e-16,0.0
fruit_jelly,num_candidates_x,inverted,0.1,0.01,0.8766666666666668,0.8666666666666666,0.8666666666666666,0.4766666666666667,-0.010000000000000231,-0.010000000000000231,0.0
sheet_metal,num_candidates_x,inverted,0.1,0.01,0.7425925925925927,0.7296296296296296,0.7296296296296296,0.5166666666666666,-0.012962962962963065,-0.012962962962963065,0.0
vial,num_candidates_x,inverted,0.1,0.01,0.9182389937106918,0.9161425576519916,0.9150943396226415,0.5639412997903565,-0.002096436058700246,-0.0031446540880503138,-0.0010482180293500676
walnuts,num_candidates_x,inverted,0.1,0.01,0.777037037037037,0.7770370370370371,0.7770370370370371,0.5807407407407408,1.1102230246251565e-16,1.1102230246251565e-16,0.0
fruit_jelly,num_candidates_x,inverted,0.1,0.03,0.8766666666666668,0.8666666666666666,0.8666666666666666,0.4766666666666667,-0.010000000000000231,-0.010000000000000231,0.0
sheet_metal,num_candidates_x,inverted,0.1,0.03,0.7425925925925927,0.7296296296296296,0.7296296296296296,0.5166666666666666,-0.012962962962963065,-0.012962962962963065,0.0
vial,num_candidates_x,inverted,0.1,0.03,0.9182389937106918,0.9161425576519916,0.9150943396226415,0.5639412997903565,-0.002096436058700246,-0.0031446540880503138,-0.0010482180293500676
walnuts,num_candidates_x,inverted,0.1,0.03,0.777037037037037,0.7770370370370371,0.7770370370370371,0.5807407407407408,1.1102230246251565e-16,1.1102230246251565e-16,0.0
fruit_jelly,num_candidates_x,inverted,0.1,0.05,0.8766666666666668,0.8666666666666666,0.8666666666666666,0.4766666666666667,-0.010000000000000231,-0.010000000000000231,0.0
sheet_metal,num_candidates_x,inverted,0.1,0.05,0.7425925925925927,0.7296296296296296,0.7277777777777777,0.5166666666666666,-0.012962962962963065,-0.014814814814814947,-0.0018518518518518823
vial,num_candidates_x,inverted,0.1,0.05,0.9182389937106918,0.9161425576519916,0.9150943396226415,0.5639412997903565,-0.002096436058700246,-0.0031446540880503138,-0.0010482180293500676
walnuts,num_candidates_x,inverted,0.1,0.05,0.777037037037037,0.7770370370370371,0.7762962962962964,0.5807407407407408,1.1102230246251565e-16,-0.0007407407407405975,-0.0007407407407407085
fruit_jelly,num_candidates_x,inverted,0.15,0.0,0.8766666666666668,0.8400000000000001,0.8400000000000001,0.4766666666666667,-0.036666666666666736,-0.036666666666666736,0.0
sheet_metal,num_candidates_x,inverted,0.15,0.0,0.7425925925925927,0.7259259259259259,0.7259259259259259,0.5166666666666666,-0.01666666666666683,-0.01666666666666683,0.0
vial,num_candidates_x,inverted,0.15,0.0,0.9182389937106918,0.9119496855345912,0.9119496855345912,0.5639412997903565,-0.0062893081761006275,-0.0062893081761006275,0.0
walnuts,num_candidates_x,inverted,0.15,0.0,0.777037037037037,0.7733333333333333,0.7733333333333333,0.5807407407407408,-0.0037037037037036535,-0.0037037037037036535,0.0
fruit_jelly,num_candidates_x,inverted,0.15,0.01,0.8766666666666668,0.8400000000000001,0.8366666666666667,0.4766666666666667,-0.036666666666666736,-0.04000000000000015,-0.0033333333333334103
sheet_metal,num_candidates_x,inverted,0.15,0.01,0.7425925925925927,0.7259259259259259,0.7222222222222222,0.5166666666666666,-0.01666666666666683,-0.020370370370370483,-0.0037037037037036535
vial,num_candidates_x,inverted,0.15,0.01,0.9182389937106918,0.9119496855345912,0.9119496855345912,0.5639412997903565,-0.0062893081761006275,-0.0062893081761006275,0.0
walnuts,num_candidates_x,inverted,0.15,0.01,0.777037037037037,0.7733333333333333,0.774074074074074,0.5807407407407408,-0.0037037037037036535,-0.002962962962962945,0.0007407407407407085
fruit_jelly,num_candidates_x,inverted,0.15,0.03,0.8766666666666668,0.8400000000000001,0.8366666666666667,0.4766666666666667,-0.036666666666666736,-0.04000000000000015,-0.0033333333333334103
sheet_metal,num_candidates_x,inverted,0.15,0.03,0.7425925925925927,0.7259259259259259,0.7222222222222222,0.5166666666666666,-0.01666666666666683,-0.020370370370370483,-0.0037037037037036535
vial,num_candidates_x,inverted,0.15,0.03,0.9182389937106918,0.9119496855345912,0.9119496855345912,0.5639412997903565,-0.0062893081761006275,-0.0062893081761006275,0.0
walnuts,num_candidates_x,inverted,0.15,0.03,0.777037037037037,0.7733333333333333,0.774074074074074,0.5807407407407408,-0.0037037037037036535,-0.002962962962962945,0.0007407407407407085
fruit_jelly,num_candidates_x,inverted,0.15,0.05,0.8766666666666668,0.8400000000000001,0.8366666666666667,0.4766666666666667,-0.036666666666666736,-0.04000000000000015,-0.0033333333333334103
