category,method_group,method,auroc,ap,pixel_auroc,pixel_f1,source,interpretation
fruit_jelly,external_vlm_baseline,WinCLIP zero-shot,0.4266666769981384,,0.530823826789856,0.0062595759518444,stage14_c2_winclip_fruit_jelly_metrics.csv,External VLM anomaly detection baseline under default zero-shot setting.
fruit_jelly,classical_detector,PatchCore,0.7166666666666667,,,,stage11_i_paper_ready_main_table.csv,Classical detector reference.
fruit_jelly,vlm_branch,full-image VLM,0.7533333333333333,,,,stage11_i_paper_ready_main_table.csv,Full-image VLM baseline.
fruit_jelly,vlm_branch,context-aware VLM,0.8566666666666667,,,,stage11_i_paper_ready_main_table.csv,Our context-aware VLM branch before detector fusion.
fruit_jelly,fusion_same_set,"PatchCore + context VLM, same-set",0.8933333333333334,0.9710965140241457,,,stage13_a_patchcore_vlm_fusion_per_category.csv,Upper-bound same-set fusion diagnostic.
fruit_jelly,fusion_loco,"PatchCore + context VLM, leave-one-category-out",0.8333333333333333,0.947585679498191,,,stage13_a_patchcore_vlm_fusion_loco_category.csv,More conservative fusion result using weights selected on other categories.
