category,reference_points,map_support_threshold
candle,9214,1.703816306214673
capsules,9212,1.0992255009475302
cashew,9212,1.6312855247653402
chewinggum,9214,1.1502743307378165
fryum,9214,1.0153024478936405
macaroni1,9212,1.767021695831396
macaroni2,9215,1.9132947845309656
pcb1,9209,1.6488313213959445
pcb2,9213,1.510462979298161
pcb3,9213,1.5941357115926365
pcb4,9214,2.153348952977783
pipe_fryum,9214,1.3784126112099666
