scope,heldout_category,variant_id,method,auroc,ap,best_f1,best_accuracy,num_backbones,potential_call_rate,active_weight_rate,best_threshold,backbone
heldout_fold,pcb4,D0,Detector only,0.9905940594059406,0.9904336260134786,0.9560975609756097,0.9552238805970149,1.0,,,,
heldout_fold,pcb4,V3,Naive detector-crop fusion,0.9854455445544554,0.98605952528551,0.9447236180904522,0.945273631840796,1.0,,,,
heldout_fold,pcb4,V4,Old Quality-Calibrated QCR,0.9952475247524752,0.9953229474512018,0.9658536585365853,0.9651741293532339,1.0,,,,
heldout_fold,pcb4,V6,Old Adaptive QCR,0.9953465346534653,0.9954293055624687,0.9658536585365853,0.9651741293532339,1.0,,,,
heldout_fold,pcb4,S1,SRB-QCR,0.991980198019802,0.9917327396342158,0.9560975609756097,0.9552238805970149,1.0,0.2537313432835821,0.2537313432835821,,
heldout_fold,pipe_fryum,D0,Detector only,0.9936,0.9970635344852196,0.9801980198019802,0.9733333333333334,1.0,,,,
heldout_fold,pipe_fryum,V3,Naive detector-crop fusion,1.0,1.0,1.0,1.0,1.0,,,,
heldout_fold,pipe_fryum,V4,Old Quality-Calibrated QCR,1.0,1.0,1.0,1.0,1.0,,,,
heldout_fold,pipe_fryum,V6,Old Adaptive QCR,1.0,1.0,1.0,1.0,1.0,,,,
heldout_fold,pipe_fryum,S1,SRB-QCR,0.9938,0.9971615142831992,0.9801980198019802,0.9733333333333334,1.0,0.62,0.6,,
loco_per_backbone,all,D0,Detector only,0.9131098406098406,0.9242318919080834,0.8605769230769231,0.8390379278445883,,,,0.2342765639717073,PatchCore
loco_mean_over_backbones,all,D0,Detector only,0.9131098406098406,0.9242318919080834,0.8605769230769231,0.8390379278445883,1.0,,,,
loco_per_backbone,all,V3,Naive detector-crop fusion,0.9616450103950103,0.9680788502375994,0.9130434782608695,0.9000925069380203,,,,0.33580308460001984,PatchCore
loco_mean_over_backbones,all,V3,Naive detector-crop fusion,0.9616450103950103,0.9680788502375994,0.9130434782608695,0.9000925069380203,1.0,,,,
loco_per_backbone,all,V4,Old Quality-Calibrated QCR,0.9718425155925157,0.9752012299092389,0.9319026000825423,0.92368177613321,,,,0.26170641500799624,PatchCore
loco_mean_over_backbones,all,V4,Old Quality-Calibrated QCR,0.9718425155925157,0.9752012299092389,0.9319026000825423,0.92368177613321,1.0,,,,
loco_per_backbone,all,V6,Old Adaptive QCR,0.9721604296604296,0.9755509789672664,0.931958762886598,0.92368177613321,,,,0.2607142514430603,PatchCore
loco_mean_over_backbones,all,V6,Old Adaptive QCR,0.9721604296604296,0.9755509789672664,0.931958762886598,0.92368177613321,1.0,,,,
loco_per_backbone,all,S1,SRB-QCR,0.9189405751905751,0.9227165630465908,0.8680611423974256,0.8482886216466234,,0.4116558741905643,0.40194264569842736,0.24679844454075858,PatchCore
loco_mean_over_backbones,all,S1,SRB-QCR,0.9189405751905751,0.9227165630465908,0.8680611423974256,0.8482886216466234,1.0,0.4116558741905643,0.40194264569842736,,
