mode,repeat,wall_time_sec,actual_vlm_calls,actual_crop_encodings,fallback_calls,sec_per_vlm_call,sec_per_dataset_image,peak_gpu_allocated_mib,peak_gpu_reserved_mib,score_checksum
selective,1,749.6110441759229,890,1126,0,0.8422596001976661,0.3467211120147654,605.8974609375,654.0,0.6066950857639313
full,1,1659.5710870474577,2162,2506,962,0.7676091984493328,0.7676091984493328,596.3681640625,638.0,-4.716119676828384
full,2,1644.3446214422584,2162,2506,962,0.7605664298992869,0.7605664298992869,596.3681640625,638.0,-4.716119676828384
selective,2,734.2822103686631,890,1126,0,0.8250361914254641,0.33963099462010315,596.3681640625,638.0,0.6066950857639313
selective,3,738.2871193662286,890,1126,0,0.8295360891755378,0.34148340396217786,596.3681640625,638.0,0.6066950857639313
full,3,1650.9371234476566,2162,2506,962,0.763615690771349,0.763615690771349,596.3681640625,638.0,-4.716119676828384
