category,version,checkpoint,checkpoint_size_mib,load_method,num_predictions,expected_num_predictions,sample_count_match,image_auroc,summary_image_auroc,delta_vs_summary,tolerance,status,elapsed_sec,error
bottle,0,runs/baselines/patchcore/MVTecAD/bottle/Patchcore/MVTecAD_bottle/v0/weights/lightning/model.ckpt,191.2131223678589,,0,83,False,,1.0,,0.002,error,10.89604627713561,RuntimeError: Engine.predict returned None and the prediction callback captured no batch outputs.
bottle,1,runs/baselines/patchcore/MVTecAD/bottle/Patchcore/MVTecAD_bottle/v1/weights/lightning/model.ckpt,191.2131223678589,,0,83,False,,1.0,,0.002,error,10.114366739988327,RuntimeError: Engine.predict returned None and the prediction callback captured no batch outputs.
bottle,2,runs/baselines/patchcore/MVTecAD/bottle/Patchcore/MVTecAD_bottle/v2/weights/lightning/model.ckpt,191.2131223678589,,0,83,False,,1.0,,0.002,error,10.567571386694908,RuntimeError: Engine.predict returned None and the prediction callback captured no batch outputs.
bottle,3,runs/baselines/patchcore/MVTecAD/bottle/Patchcore/MVTecAD_bottle/v3/weights/lightning/model.ckpt,191.2131223678589,,0,83,False,,1.0,,0.002,error,9.422151923179626,RuntimeError: Engine.predict returned None and the prediction callback captured no batch outputs.
