category,model,threshold,FPR,TPR
can,D256,-0.7731142667076072,0.9583333333333334,0.9555555555555556
can,D512,-1.5195107975351598,0.9861111111111112,0.9555555555555556
can,dino_top1,0.1627624630928039,0.9861111111111112,0.9555555555555556
can,dino_max,0.2223759889602661,0.9027777777777778,0.9555555555555556
fabric,D256,0.3171843220996136,0.8333333333333334,0.9555555555555556
fabric,D512,-0.1047838275564749,0.6515151515151515,0.9555555555555556
fabric,dino_top1,0.1832975298166275,0.9393939393939394,0.9555555555555556
fabric,dino_max,0.2054285407066345,0.9242424242424242,0.9555555555555556
fruit_jelly,D256,-0.5531464490561296,0.8,0.95
fruit_jelly,D512,0.0934810980171543,0.4,0.95
fruit_jelly,dino_top1,0.2383088022470474,0.95,0.95
fruit_jelly,dino_max,0.278730571269989,0.95,0.95
rice,D256,-0.2399254171124202,0.9047619047619048,0.9555555555555556
rice,D512,-0.7442992247751516,0.7857142857142857,0.9555555555555556
rice,dino_top1,0.1595426499843597,0.6666666666666666,0.9555555555555556
rice,dino_max,0.1854615211486816,0.9047619047619048,0.9555555555555556
sheet_metal,D256,-0.7831182386623777,0.9166666666666666,0.9555555555555556
sheet_metal,D512,-0.4344151849147453,0.875,0.9555555555555556
sheet_metal,dino_top1,0.154008150100708,0.625,0.9555555555555556
sheet_metal,dino_max,0.195026159286499,0.625,0.9555555555555556
vial,D256,-0.3239067991803128,0.5428571428571428,0.9523809523809523
vial,D512,-0.1379346217289113,0.7142857142857143,0.9523809523809523
vial,dino_top1,0.2301801443099975,0.4,0.9523809523809523
vial,dino_max,0.297934889793396,0.2857142857142857,0.9523809523809523
wallplugs,D256,-1.657540562865863,1.0,0.9555555555555556
wallplugs,D512,-0.6830079195374322,0.9,0.9555555555555556
wallplugs,dino_top1,0.176575630903244,1.0,0.9555555555555556
wallplugs,dino_max,0.1969667077064514,1.0,0.9555555555555556
walnuts,D256,-0.5070819715355327,0.9666666666666667,0.9555555555555556
walnuts,D512,0.0799659607055235,0.6833333333333333,0.9555555555555556
walnuts,dino_top1,0.2101988196372985,0.6833333333333333,0.9555555555555556
walnuts,dino_max,0.245760440826416,0.7333333333333333,0.9555555555555556
