system,FP,FN,FPR,recall
PatchCore512,296,32,0.7810026385224275,0.9546099290780142
DINOv2_top1,310,32,0.8179419525065963,0.9546099290780142
AND,263,57,0.6939313984168866,0.9191489361702128
OR,343,7,0.9050131926121372,0.9900709219858156
