repeat,mode,vlm_calls,eval_images,elapsed_sec,sec_per_call,images_per_sec,peak_gpu_allocated_mib,fallback_count
1,full,1725,3163,1787.3302149951924,1.0361334579682275,0.9651266372199946,603.08984375,0
1,selective,1294,2543,1405.5953709199093,1.0862406266769005,0.9206063329257592,603.08984375,0
2,full,1725,3163,1781.434620434884,1.032715721991237,0.968320689523196,603.08984375,0
2,selective,1294,2543,1403.6319044989068,1.0847232646823082,0.9218941204260777,603.08984375,0
3,full,1725,3163,1750.1465245911386,1.0145776954151529,0.9856317604053105,603.08984375,0
3,selective,1294,2543,1436.9161294009537,1.1104452313763167,0.9005396860145658,603.08984375,0
