category,weight_id,tune_patchcore_f1,tune_enhanced_f1,mean_w,contrast_w,peak_w,stability_w,compact_w,aspect_w,area_penalty_w
leather,0,0.49260020992875264,0.49260020992875264,1.0,0.0,0.0,0.0,0.0,0.0,0.0
leather,1,0.49260020992875264,0.49260020992875264,0.8,0.0,0.0,0.0,0.0,0.0,0.2
leather,2,0.49260020992875264,0.49260020992875264,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
leather,3,0.49260020992875264,0.49260020992875264,0.8,0.0,0.0,0.0,0.0,0.2,0.0
leather,4,0.49260020992875264,0.49260020992875264,0.6666666666666667,0.0,0.0,0.0,0.0,0.16666666666666669,0.16666666666666669
leather,5,0.49260020992875264,0.49260020992875264,0.5714285714285715,0.0,0.0,0.0,0.0,0.14285714285714288,0.28571428571428575
leather,6,0.49260020992875264,0.49260020992875264,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
leather,7,0.49260020992875264,0.49260020992875264,0.5714285714285714,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285
leather,8,0.49260020992875264,0.49260020992875264,0.5,0.0,0.0,0.0,0.0,0.25,0.25
leather,9,0.49260020992875264,0.49260020992875264,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
leather,10,0.49260020992875264,0.49260020992875264,0.5714285714285714,0.0,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285
leather,11,0.49260020992875264,0.49260020992875264,0.5,0.0,0.0,0.0,0.25,0.0,0.25
leather,12,0.49260020992875264,0.49260020992875264,0.5714285714285714,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0
leather,13,0.49260020992875264,0.49260020992875264,0.5,0.0,0.0,0.0,0.25,0.125,0.125
leather,14,0.49260020992875264,0.49260020992875264,0.4444444444444444,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.2222222222222222
leather,15,0.49260020992875264,0.49260020992875264,0.5,0.0,0.0,0.0,0.25,0.25,0.0
leather,16,0.49260020992875264,0.49260020992875264,0.4444444444444445,0.0,0.0,0.0,0.22222222222222224,0.22222222222222224,0.11111111111111112
leather,17,0.49260020992875264,0.49260020992875264,0.4,0.0,0.0,0.0,0.2,0.2,0.2
leather,18,0.49260020992875264,0.49260020992875264,0.5,0.0,0.0,0.0,0.5,0.0,0.0
leather,19,0.49260020992875264,0.49260020992875264,0.4444444444444445,0.0,0.0,0.0,0.4444444444444445,0.0,0.11111111111111112
leather,20,0.49260020992875264,0.49260020992875264,0.4,0.0,0.0,0.0,0.4,0.0,0.2
leather,21,0.49260020992875264,0.49260020992875264,0.4444444444444445,0.0,0.0,0.0,0.4444444444444445,0.11111111111111112,0.0
leather,22,0.49260020992875264,0.49260020992875264,0.4,0.0,0.0,0.0,0.4,0.1,0.1
leather,23,0.49260020992875264,0.49260020992875264,0.36363636363636365,0.0,0.0,0.0,0.36363636363636365,0.09090909090909091,0.18181818181818182
leather,24,0.49260020992875264,0.49260020992875264,0.4,0.0,0.0,0.0,0.4,0.2,0.0
leather,25,0.49260020992875264,0.49260020992875264,0.36363636363636365,0.0,0.0,0.0,0.36363636363636365,0.18181818181818182,0.09090909090909091
leather,26,0.49260020992875264,0.49260020992875264,0.33333333333333337,0.0,0.0,0.0,0.33333333333333337,0.16666666666666669,0.16666666666666669
leather,27,0.49260020992875264,0.49260020992875264,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
leather,28,0.49260020992875264,0.49260020992875264,0.5714285714285714,0.0,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285
leather,29,0.49260020992875264,0.49260020992875264,0.5,0.0,0.0,0.25,0.0,0.0,0.25
