dataset,category,top1_tight_fraction,top1_context_fraction,top3_context_union_fraction,top1_tight_hit,top1_context_hit,top3_context_hit,anomalous_images
AD2,can,0.0,0.022222222222222223,0.0901303293751767,0.0,0.022222222222222223,0.1111111111111111,90
AD2,fabric,0.06904463557615477,0.07580132500005521,0.08310762444242699,0.13333333333333333,0.13333333333333333,0.15555555555555556,90
AD2,fruit_jelly,0.490784083122868,0.5401311456972672,0.6241655046645423,0.8166666666666667,0.8333333333333334,0.8833333333333333,60
AD2,rice,0.11734152726281931,0.16977312980727885,0.3861270937592989,0.18888888888888888,0.18888888888888888,0.4777777777777778,90
AD2,sheet_metal,0.06483672242338794,0.1508963772668592,0.24679193921092674,0.28888888888888886,0.4444444444444444,0.6555555555555556,90
AD2,vial,0.5361170739459649,0.691497549267635,0.7766875086355798,0.8380952380952381,0.8476190476190476,0.9523809523809523,105
AD2,wallplugs,0.10786983172924333,0.13693798749627054,0.2324479735248529,0.16666666666666666,0.18888888888888888,0.34444444444444444,90
AD2,walnuts,0.4011888971962006,0.43206031994491123,0.6763160030905386,0.6,0.6222222222222222,0.8444444444444444,90
VisA,candle,0.9063249871990933,0.9193351827977417,0.962935383429129,0.95,0.96,0.99,100
VisA,capsules,0.46871178032721794,0.49601133030321315,0.6587330470945159,0.5,0.5,0.67,100
VisA,cashew,0.8088935139644035,0.8546420191841735,0.9185540597124999,0.93,0.95,0.97,100
VisA,chewinggum,0.8856662729997451,0.9162298612493908,0.9297597866756295,0.96,0.97,0.97,100
VisA,fryum,0.4522232932652013,0.5277676085577204,0.6764678248824741,0.66,0.69,0.84,100
VisA,macaroni1,0.408062360721705,0.4249819697632815,0.6684266233581646,0.44,0.45,0.68,100
VisA,macaroni2,0.583962440036678,0.6223856010978635,0.782944743343502,0.62,0.63,0.8,100
VisA,pcb1,0.7515650937941569,0.7952777833829136,0.935904362407364,0.84,0.84,0.97,100
VisA,pcb2,0.7473165098702519,0.7747552787355645,0.8577256543274203,0.81,0.83,0.92,100
VisA,pcb3,0.6129497851238879,0.6474962062748638,0.7618819686440415,0.67,0.69,0.83,100
VisA,pcb4,0.6360126331208512,0.6873980519181925,0.8733632427732804,0.95,0.95,0.99,100
VisA,pipe_fryum,0.8724333141443468,0.9182241227500383,0.9520678284496629,0.98,0.98,1.0,100
