method,auroc,ap
D256,0.6689311410591172,0.7907620982668357
D512,0.7314441466822419,0.829981092010138
fixed_source,0.6734180953526191,0.7943886473662681
logistic_source,0.6771522910511005,0.7971339340908694
naive256,0.6685852072310405,0.7880688111238228
naive512,0.6697484267275934,0.8048446157895658
