method,auroc,ap
D_z,0.9632161458333334,0.964320159053119
center_nn,0.8343098958333334,0.8381646335249577
context_matched_center,0.7880859375,0.8058246716326379
same_position,0.7457682291666666,0.7442467827141249
shuffled_correspondence,0.4697265625,0.5451532667545272
