method,n,normal,anomaly,auroc,ap
D_raw,160,60,100,0.749,0.8621417618959917
M_global,160,60,100,0.45733333333333337,0.6192061813268797
M_tight_top1,160,60,100,0.44266666666666665,0.6153579730472871
M_context_top1,160,60,100,0.49433333333333335,0.633148396894381
M_context_top3max,160,60,100,0.4633333333333334,0.612362632425133
D_z,160,60,100,0.749,0.8621417618959917
M_context_top1_z,160,60,100,0.49433333333333335,0.633148396894381
naive_context_top1,160,60,100,0.7404999999999999,0.8559998465472874
naive_context_top3max,160,60,100,0.7509999999999999,0.8620272045428332
