caliper,subset,baseline,delta,lower95,upper95,categories,categories_improved,images
0.01,all_matched,appearance_nn,-0.09522825138530892,-0.11873976042469847,-0.072492544528652,12,3,1047
0.01,all_matched,joint_nn,-0.029016931496935332,-0.05074778361954082,-0.006285055498044453,12,6,1047
0.01,all_matched,map_nn,0.05477842701709715,0.0290211253151261,0.0802396794069956,12,7,1047
0.01,supported,appearance_nn,-0.076874410251796,-0.1470808096515839,-0.007562149151475309,12,7,247
0.01,supported,joint_nn,-0.11187772114586436,-0.18410482700224007,-0.0412550499341983,12,2,247
0.01,supported,map_nn,0.10905193532945939,0.030153652103282597,0.18691203349476743,12,8,247
0.05,all_matched,appearance_nn,-0.09559336233529375,-0.11749348377327662,-0.07364121957177483,12,3,1062
0.05,all_matched,joint_nn,-0.030084634081706436,-0.05246735901649832,-0.008617905629059043,12,6,1062
0.05,all_matched,map_nn,0.049292908016255056,0.022562527336927166,0.07510800586431123,12,7,1062
0.05,supported,appearance_nn,-0.07753191707609858,-0.14620853681168278,-0.0065898050475747105,12,7,248
0.05,supported,joint_nn,-0.10872865812425503,-0.18048968450851285,-0.0339382460572125,12,3,248
0.05,supported,map_nn,0.10972659091448012,0.031007319990081408,0.1878601713750249,12,8,248
0.1,all_matched,appearance_nn,-0.09588392252203533,-0.11803628875569659,-0.0731137580799265,12,3,1074
0.1,all_matched,joint_nn,-0.029235196910766287,-0.05093761250829868,-0.0068965775578340716,12,6,1074
0.1,all_matched,map_nn,0.05062478139581259,0.025472392304347943,0.07756371145707058,12,7,1074
0.1,supported,appearance_nn,-0.07544726790944804,-0.1455940814305209,-0.0083857091229079,12,7,250
0.1,supported,joint_nn,-0.10720527152539787,-0.17816733110361602,-0.03318165563754233,12,3,250
0.1,supported,map_nn,0.11049439319013094,0.03204427799826472,0.18906235662084267,12,8,250
