dataset,category,num_anomaly_images,covered_anomaly_images,coverage_ratio,num_candidate_rows,candidate_csv
VisA,candle,100,100,1.0,256,results/stage7_generalization/visa_multibackbone/fastflow_smoke/VisA/candle/candidate_regions.csv
VisA,MEAN,100,100,1.0,256,
