category,label,supported_fraction_image_balanced,above_normal_max_image_balanced
candle,0,0.576796875,0.15453125
candle,1,0.995625,0.8213866341991343
capsules,0,0.54501953125,0.01962890625
capsules,1,0.9965625,0.5361057692307692
cashew,0,0.8266418650793651,0.06138062169312169
cashew,1,0.9996875,0.49125
chewinggum,0,0.7892708333333334,0.30291666666666667
chewinggum,1,1.0,0.93125
fryum,0,0.8122916666666666,0.2653125
fryum,1,1.0,0.6862155172413793
macaroni1,0,0.5740339781746031,0.03921875
macaroni1,1,0.99875,0.6007504208754209
macaroni2,0,0.78734375,0.01609375
macaroni2,1,0.999375,0.4365856481481481
pcb1,0,0.55,0.028828125
pcb1,1,0.9740625,0.70375
pcb2,0,0.5871527777777777,0.11976686507936508
pcb2,1,0.9875,0.7975
pcb3,0,0.7987406716417911,0.10245646766169154
pcb3,1,0.996875,0.7271875
pcb4,0,0.6098167397141278,0.21505814183052988
pcb4,1,0.9978125,0.808125
pipe_fryum,0,0.5514583333333334,0.14260416666666667
pipe_fryum,1,0.9984375,0.8725
