backbone,dataset,strategy,eval_mode,V0,V2,V3,V4,V5,delta_v5_minus_v3_naive,delta_v5_minus_v4_quality,delta_v5_minus_v0_detector,delta_v5_minus_v2_crop,delta_v4_minus_v3_naive,v5_beats_naive,v5_beats_quality_only,v5_beats_detector,v5_beats_crop,quality_beats_naive
FastFlow,VisA,inspection_binary,crop_or_full,0.8954946292446292,0.8709697678447679,0.9499315661815662,0.9686209286209286,0.9724358974358974,0.022504331254331267,0.003814968814968789,0.07694126819126823,0.10146612959112955,0.018689362439362478,True,True,True,True,True
FastFlow,VisA,inspection_binary,crop_topk_ensemble,0.8954946292446292,0.9269204781704782,0.9688244975744976,0.977797124047124,0.9841597366597368,0.01533523908523915,0.006362612612612728,0.08866510741510758,0.05723925848925859,0.008972626472626422,True,True,True,True,True
FastFlow,VisA,inspection_binary,full_all,0.8954946292446292,0.5890609840609841,0.8550294525294525,0.928329002079002,0.9086564449064448,0.05362699237699231,-0.019672557172557226,0.013161815661815623,0.31959546084546075,0.07329954954954954,True,False,True,True,True
PatchCore,VisA,category_binary,crop_or_full,0.9131098406098406,0.7820014726264726,0.9191943866943868,0.95370841995842,0.9439622314622316,0.02476784476784477,-0.009746188496188468,0.030852390852391,0.161960758835759,0.03451403326403324,True,False,True,True,True
PatchCore,VisA,category_binary,crop_topk_ensemble,0.9131098406098406,0.7991363478863479,0.9302668052668052,0.9611062023562024,0.9524922037422038,0.022225398475398617,-0.008613998613998586,0.03938236313236321,0.15335585585585587,0.030839397089397202,True,False,True,True,True
PatchCore,VisA,category_binary,full_all,0.9131098406098406,0.526143018018018,0.8328343728343728,0.9136269923769924,0.8802477477477477,0.04741337491337494,-0.033379244629244686,-0.03286209286209285,0.35410472972972973,0.08079261954261963,True,False,False,True,True
PatchCore,VisA,generic_binary,crop_or_full,0.9131098406098406,0.8799649168399168,0.9574185724185724,0.969306133056133,0.9702286902286902,0.01281011781011776,0.0009225571725571813,0.05711884961884961,0.09026377338877334,0.011887560637560579,True,True,True,True,True
PatchCore,VisA,generic_binary,crop_topk_ensemble,0.9131098406098406,0.8959463790713791,0.9676957726957728,0.9755933818433818,0.977489604989605,0.009793832293832239,0.001896223146223175,0.06437976437976445,0.08154322591822594,0.007897609147609064,True,True,True,True,True
PatchCore,VisA,generic_binary,full_all,0.9131098406098406,0.5437335412335412,0.8335282397782398,0.9135576923076923,0.882168225918226,0.04863998613998621,-0.03138946638946638,-0.030941614691614605,0.33843468468468474,0.0800294525294526,True,False,False,True,True
PatchCore,VisA,inspection_binary,crop_or_full,0.9131098406098406,0.8682371794871795,0.9510239085239084,0.9649870062370064,0.9664812889812888,0.015457380457380432,0.001494282744282427,0.05337144837144825,0.09824410949410933,0.013963097713098005,True,True,True,True,True
PatchCore,VisA,inspection_binary,crop_topk_ensemble,0.9131098406098406,0.8845556133056133,0.9616450103950104,0.9718425155925156,0.9740081427581428,0.012363132363132467,0.002165627165627293,0.060898302148302275,0.08945252945252957,0.010197505197505174,True,True,True,True,True
PatchCore,VisA,inspection_binary,full_all,0.9131098406098406,0.5890609840609841,0.8521534996534996,0.918887733887734,0.8926697851697851,0.0405162855162855,-0.026217948717948913,-0.02044005544005545,0.30360880110880106,0.06673423423423441,True,False,False,True,True
