backbone,dataset,strategy,eval_mode,category,variant_id,variant,num_images,num_normal,num_anomaly,auroc,ap,best_f1,best_accuracy,best_threshold
FastFlow,VisA,inspection_binary,crop_or_full,candle,V0,detector_only,200,100,100,0.9638,0.9659291762956387,0.9154228855721394,0.915,0.5039169373442006
FastFlow,VisA,inspection_binary,crop_or_full,candle,V2,crop_topk_vlm,200,100,100,0.9571,0.9617792228338696,0.9073170731707316,0.905,0.269991700224405
FastFlow,VisA,inspection_binary,crop_or_full,candle,V3,naive_detector_crop_fusion,200,100,100,0.992,0.9922203327058629,0.9547738693467336,0.955,0.41904784697961434
FastFlow,VisA,inspection_binary,crop_or_full,candle,V4,quality_weighted_crop,200,100,100,0.9928,0.9929026280549604,0.9603960396039604,0.96,0.3459166154990769
FastFlow,VisA,inspection_binary,crop_or_full,candle,V5,fixed_quality_consistency,200,100,100,0.9972,0.9972935487663593,0.9746192893401014,0.975,0.3987581816191403
FastFlow,VisA,inspection_binary,crop_or_full,candle,V6,adaptive_qcru,200,100,100,0.9928,0.9929026280549604,0.9603960396039604,0.96,0.3325004586598746
FastFlow,VisA,inspection_binary,crop_or_full,capsules,V0,detector_only,160,60,100,0.7574166666666666,0.8694982518951063,0.7747035573122529,0.64375,0.1002806539074088
FastFlow,VisA,inspection_binary,crop_or_full,capsules,V2,crop_topk_vlm,160,60,100,1.0,1.0,1.0,1.0,0.3860998126540172
FastFlow,VisA,inspection_binary,crop_or_full,capsules,V3,naive_detector_crop_fusion,160,60,100,0.9768333333333333,0.9859817792920876,0.9411764705882353,0.925,0.4081309465409855
FastFlow,VisA,inspection_binary,crop_or_full,capsules,V4,quality_weighted_crop,160,60,100,0.9698333333333333,0.981898300869517,0.9295774647887325,0.90625,0.30224501170665163
FastFlow,VisA,inspection_binary,crop_or_full,capsules,V5,fixed_quality_consistency,160,60,100,0.9928333333333333,0.9956168606936748,0.970873786407767,0.9625,0.35569537575347404
FastFlow,VisA,inspection_binary,crop_or_full,capsules,V6,adaptive_qcru,160,60,100,0.97,0.9819900345326792,0.9295774647887325,0.90625,0.28851832194806776
FastFlow,VisA,inspection_binary,crop_or_full,cashew,V0,detector_only,150,50,100,0.8922,0.9483757652879194,0.8815165876777251,0.8333333333333334,0.2830768575984286
FastFlow,VisA,inspection_binary,crop_or_full,cashew,V2,crop_topk_vlm,150,50,100,0.9958,0.9982644628099173,0.9949748743718593,0.9933333333333333,0.2643005906028793
FastFlow,VisA,inspection_binary,crop_or_full,cashew,V3,naive_detector_crop_fusion,150,50,100,0.9978,0.9988887615579709,0.9852216748768473,0.98,0.3620939522184038
FastFlow,VisA,inspection_binary,crop_or_full,cashew,V4,quality_weighted_crop,150,50,100,0.996,0.9979591621681769,0.9801980198019802,0.9733333333333334,0.314628288420455
FastFlow,VisA,inspection_binary,crop_or_full,cashew,V5,fixed_quality_consistency,150,50,100,0.9992,0.9995979391816732,0.9950248756218906,0.9933333333333333,0.37060196465053075
FastFlow,VisA,inspection_binary,crop_or_full,cashew,V6,adaptive_qcru,150,50,100,0.996,0.9979591621681769,0.9801980198019802,0.9733333333333334,0.2998997417594016
FastFlow,VisA,inspection_binary,crop_or_full,chewinggum,V0,detector_only,150,50,100,0.9898,0.9960090763761806,0.9847715736040609,0.98,0.413938724007642
FastFlow,VisA,inspection_binary,crop_or_full,chewinggum,V2,crop_topk_vlm,150,50,100,0.9966,0.9982977252446124,0.99,0.9866666666666667,0.3779887666384555
FastFlow,VisA,inspection_binary,crop_or_full,chewinggum,V3,naive_detector_crop_fusion,150,50,100,1.0,1.0,1.0,1.0,0.3586407805039546
FastFlow,VisA,inspection_binary,crop_or_full,chewinggum,V4,quality_weighted_crop,150,50,100,1.0,1.0,1.0,1.0,0.258636002999119
FastFlow,VisA,inspection_binary,crop_or_full,chewinggum,V5,fixed_quality_consistency,150,50,100,1.0,1.0,1.0,1.0,0.3327077654708003
FastFlow,VisA,inspection_binary,crop_or_full,chewinggum,V6,adaptive_qcru,150,50,100,1.0,1.0,1.0,1.0,0.2468335255750205
FastFlow,VisA,inspection_binary,crop_or_full,fryum,V0,detector_only,150,50,100,0.9496,0.9762500544261796,0.9178743961352657,0.8866666666666667,0.3355346706669524
FastFlow,VisA,inspection_binary,crop_or_full,fryum,V2,crop_topk_vlm,150,50,100,0.9902,0.9959479591836734,0.98,0.9733333333333334,0.2727434658557799
FastFlow,VisA,inspection_binary,crop_or_full,fryum,V3,naive_detector_crop_fusion,150,50,100,0.9996,0.9998039215686275,0.9949748743718593,0.9933333333333333,0.40081952158917616
FastFlow,VisA,inspection_binary,crop_or_full,fryum,V4,quality_weighted_crop,150,50,100,0.9978,0.9988887615579709,0.9852216748768473,0.98,0.272106114179282
FastFlow,VisA,inspection_binary,crop_or_full,fryum,V5,fixed_quality_consistency,150,50,100,1.0,1.0,1.0,1.0,0.337625266784153
FastFlow,VisA,inspection_binary,crop_or_full,fryum,V6,adaptive_qcru,150,50,100,0.9978,0.9988887615579709,0.9852216748768473,0.98,0.26013452795011155
FastFlow,VisA,inspection_binary,crop_or_full,macaroni1,V0,detector_only,200,100,100,0.8792,0.8803977413336387,0.8230088495575221,0.8,0.3495813019883397
FastFlow,VisA,inspection_binary,crop_or_full,macaroni1,V2,crop_topk_vlm,200,100,100,0.964,0.9746151065646188,0.9346733668341709,0.935,0.3864216993109457
FastFlow,VisA,inspection_binary,crop_or_full,macaroni1,V3,naive_detector_crop_fusion,200,100,100,0.9529,0.9556375734951379,0.888888888888889,0.88,0.3666636309953383
FastFlow,VisA,inspection_binary,crop_or_full,macaroni1,V4,quality_weighted_crop,200,100,100,0.9609,0.963258149892175,0.8962264150943395,0.89,0.30701528463967276
FastFlow,VisA,inspection_binary,crop_or_full,macaroni1,V5,fixed_quality_consistency,200,100,100,0.9728,0.9757967630041534,0.9186602870813397,0.915,0.3561077485183564
FastFlow,VisA,inspection_binary,crop_or_full,macaroni1,V6,adaptive_qcru,200,100,100,0.9619,0.9643802045218953,0.8979591836734694,0.9,0.3679307039424652
FastFlow,VisA,inspection_binary,crop_or_full,macaroni2,V0,detector_only,200,100,100,0.7208,0.7528116034031653,0.712121212121212,0.62,0.1957820926844771
FastFlow,VisA,inspection_binary,crop_or_full,macaroni2,V2,crop_topk_vlm,200,100,100,0.8122,0.8449905844252583,0.7641509433962265,0.75,0.445143857423135
