backbone,dataset,strategy,eval_mode,V0,V2,V3,V4,V5,delta_v5_minus_v3_naive,delta_v5_minus_v4_quality,delta_v5_minus_v0_detector,delta_v5_minus_v2_crop,delta_v4_minus_v3_naive,v5_beats_naive,v5_beats_quality_only,v5_beats_detector,v5_beats_crop,quality_beats_naive,failure_reason
PatchCore,VisA,category_binary,crop_or_full,0.9131098406098406,0.7820014726264726,0.9191943866943868,0.95370841995842,0.9439622314622316,0.02476784476784477,-0.009746188496188468,0.030852390852391,0.161960758835759,0.03451403326403324,True,False,True,True,True,V5_not_better_than_quality_only
PatchCore,VisA,category_binary,crop_topk_ensemble,0.9131098406098406,0.7991363478863479,0.9302668052668052,0.9611062023562024,0.9524922037422038,0.022225398475398617,-0.008613998613998586,0.03938236313236321,0.15335585585585587,0.030839397089397202,True,False,True,True,True,V5_not_better_than_quality_only
PatchCore,VisA,inspection_binary,full_all,0.9131098406098406,0.5890609840609841,0.8521534996534996,0.918887733887734,0.8926697851697851,0.0405162855162855,-0.026217948717948913,-0.02044005544005545,0.30360880110880106,0.06673423423423441,True,False,False,True,True,V5_not_better_than_quality_only;V5_not_better_than_detector
PatchCore,VisA,category_binary,full_all,0.9131098406098406,0.526143018018018,0.8328343728343728,0.9136269923769924,0.8802477477477477,0.04741337491337494,-0.033379244629244686,-0.03286209286209285,0.35410472972972973,0.08079261954261963,True,False,False,True,True,V5_not_better_than_quality_only;V5_not_better_than_detector
PatchCore,VisA,generic_binary,full_all,0.9131098406098406,0.5437335412335412,0.8335282397782398,0.9135576923076923,0.882168225918226,0.04863998613998621,-0.03138946638946638,-0.030941614691614605,0.33843468468468474,0.0800294525294526,True,False,False,True,True,V5_not_better_than_quality_only;V5_not_better_than_detector
FastFlow,VisA,inspection_binary,full_all,0.8954946292446292,0.5890609840609841,0.8550294525294525,0.928329002079002,0.9086564449064448,0.05362699237699231,-0.019672557172557226,0.013161815661815623,0.31959546084546075,0.07329954954954954,True,False,True,True,True,V5_not_better_than_quality_only
