scope,comparison,num_protocols,wins,win_rate,mean_delta,median_delta,min_delta,max_delta,final_recommendation,recommended_method_name
primary_protocol,adaptive_qcru_minus_naive,2,2,1.0,0.009975311850311863,0.009975311850311863,0.009435204435204403,0.010515419265419323,Use Quality-Calibrated QCR as the main method; describe adaptive consistency as a small gated refinement.,Quality-Calibrated QCR with adaptive consistency refinement
primary_protocol,adaptive_qcru_minus_quality,2,2,1.0,0.00039024601524606517,0.00039024601524606517,0.000317914067914149,0.00046257796257798134,,
primary_protocol,adaptive_qcru_minus_fixed_qc,2,0,0.0,-0.0038738738738738343,-0.0038738738738738343,-0.005900034650034636,-0.001847713097713033,,
primary_protocol,quality_minus_naive,2,2,1.0,0.009585065835065798,0.009585065835065798,0.008972626472626422,0.010197505197505174,,
all_protocols,adaptive_qcru_minus_naive,12,12,1.0,0.037066802379302384,0.025294092169092175,0.008199064449064486,0.08161815661815663,,
all_protocols,adaptive_qcru_minus_quality,12,12,1.0,0.0005820483945483864,0.00047643797643798225,0.0003014553014553112,0.001236139986140028,,
all_protocols,adaptive_qcru_minus_fixed_qc,12,6,0.5,0.009945642758142756,0.004225138600138567,-0.005900034650034636,0.034204781704781695,,
all_protocols,quality_minus_naive,12,12,1.0,0.036484753984754,0.024764379764379785,0.007897609147609175,0.08079261954261963,,
