backbone,dataset,strategy,eval_mode,variant_id,variant,num_images,num_normal,num_anomaly,auroc,ap,best_f1,best_accuracy,best_threshold
FastFlow,VisA,inspection_binary,crop_or_full,V0,detector_only,2162,962,1200,0.8954946292446292,0.9204672056891952,0.8445344129554656,0.8223866790009251,0.37988002077724603
FastFlow,VisA,inspection_binary,crop_or_full,V2,crop_topk_vlm,2162,962,1200,0.8709697678447679,0.9030892084563046,0.8143491124260356,0.7678075855689177,0.29393734363302176
FastFlow,VisA,inspection_binary,crop_or_full,V3,naive_detector_crop_fusion,2162,962,1200,0.9499315661815662,0.9613583668148729,0.893030794165316,0.877890841813136,0.3945717747368869
FastFlow,VisA,inspection_binary,crop_or_full,V4,quality_weighted_crop,2162,962,1200,0.9686209286209286,0.9757062647878416,0.9147286821705427,0.9033302497687327,0.3191406308350866
FastFlow,VisA,inspection_binary,crop_or_full,V5,fixed_quality_consistency,2162,962,1200,0.9724358974358974,0.9784742971569157,0.9206477732793522,0.9093432007400555,0.3644622171682672
FastFlow,VisA,inspection_binary,crop_or_full,V6,adaptive_qcru,2162,962,1200,0.9692628205128205,0.9762833806225304,0.9156135344476152,0.9042553191489362,0.30407535785568424
FastFlow,VisA,inspection_binary,crop_topk_ensemble,V0,detector_only,2162,962,1200,0.8954946292446292,0.9204672056891952,0.8445344129554656,0.8223866790009251,0.37988002077724603
FastFlow,VisA,inspection_binary,crop_topk_ensemble,V2,crop_topk_vlm,2162,962,1200,0.9269204781704782,0.9484575079255336,0.8765331152902699,0.8603145235892692,0.35010516371045003
FastFlow,VisA,inspection_binary,crop_topk_ensemble,V3,naive_detector_crop_fusion,2162,962,1200,0.9688244975744976,0.9750375137499012,0.9166666666666667,0.9047178538390379,0.38750823337478835
FastFlow,VisA,inspection_binary,crop_topk_ensemble,V4,quality_weighted_crop,2162,962,1200,0.977797124047124,0.9822289124591168,0.9303849303849304,0.9213691026827012,0.3359956218921017
FastFlow,VisA,inspection_binary,crop_topk_ensemble,V5,fixed_quality_consistency,2162,962,1200,0.9841597366597367,0.9872752808038395,0.940347970173985,0.9333950046253469,0.3953121715913667
FastFlow,VisA,inspection_binary,crop_topk_ensemble,V6,adaptive_qcru,2162,962,1200,0.978259702009702,0.9826510332086212,0.9312039312039312,0.9222941720629048,0.3223895852886451
FastFlow,VisA,inspection_binary,full_all,V0,detector_only,2162,962,1200,0.8954946292446292,0.9204672056891952,0.8445344129554656,0.8223866790009251,0.37988002077724603
FastFlow,VisA,inspection_binary,full_all,V2,crop_topk_vlm,2162,962,1200,0.5890609840609841,0.6319924681782155,0.7138607971445567,0.5550416281221091,0.0
FastFlow,VisA,inspection_binary,full_all,V3,naive_detector_crop_fusion,2162,962,1200,0.8550294525294525,0.8824824629598875,0.8103514870606413,0.772895467160037,0.39074469700779146
FastFlow,VisA,inspection_binary,full_all,V4,quality_weighted_crop,2162,962,1200,0.928329002079002,0.9455564402426389,0.8694610778443114,0.8487511563367253,0.31188031404408256
FastFlow,VisA,inspection_binary,full_all,V5,fixed_quality_consistency,2162,962,1200,0.9086564449064449,0.9261103957173632,0.850565743269606,0.8228492136910268,0.36553400850255885
FastFlow,VisA,inspection_binary,full_all,V6,adaptive_qcru,2162,962,1200,0.9295651420651421,0.9466735579901092,0.8703629836457918,0.8496762257169288,0.2972947745295354
PatchCore,VisA,category_binary,crop_or_full,V0,detector_only,2162,962,1200,0.9131098406098406,0.9241804739546882,0.8605769230769231,0.8390379278445883,0.23408000453980998
PatchCore,VisA,category_binary,crop_or_full,V2,crop_topk_vlm,2162,962,1200,0.7820014726264726,0.7864656990770135,0.7743237787646347,0.7414431082331174,0.40709993426686775
PatchCore,VisA,category_binary,crop_or_full,V3,naive_detector_crop_fusion,2162,962,1200,0.9191943866943867,0.9308772396988997,0.870216962524655,0.8478260869565217,0.3412196454446281
PatchCore,VisA,category_binary,crop_or_full,V4,quality_weighted_crop,2162,962,1200,0.9537084199584199,0.9603187046454449,0.903619357462383,0.8903792784458835,0.28695935934535577
PatchCore,VisA,category_binary,crop_or_full,V5,fixed_quality_consistency,2162,962,1200,0.9439622314622315,0.9517729801977538,0.8909657320872274,0.8704902867715079,0.31079878367540625
PatchCore,VisA,category_binary,crop_or_full,V6,adaptive_qcru,2162,962,1200,0.9541987179487179,0.9608553393018957,0.9042769857433809,0.8913043478260869,0.2795654265776147
PatchCore,VisA,category_binary,crop_topk_ensemble,V0,detector_only,2162,962,1200,0.9131098406098406,0.9241804739546882,0.8605769230769231,0.8390379278445883,0.23408000453980998
PatchCore,VisA,category_binary,crop_topk_ensemble,V2,crop_topk_vlm,2162,962,1200,0.7991363478863479,0.799850246340629,0.7910386965376782,0.7627197039777983,0.42447068609227145
PatchCore,VisA,category_binary,crop_topk_ensemble,V3,naive_detector_crop_fusion,2162,962,1200,0.9302668052668053,0.9378463848604397,0.8828616352201258,0.8621646623496763,0.34821314708868895
PatchCore,VisA,category_binary,crop_topk_ensemble,V4,quality_weighted_crop,2162,962,1200,0.9611062023562024,0.9649493816609557,0.9131329765335529,0.9024051803885291,0.30217654745764877
PatchCore,VisA,category_binary,crop_topk_ensemble,V5,fixed_quality_consistency,2162,962,1200,0.9524922037422038,0.9573040292496207,0.9006727344677483,0.8839037927844589,0.3391337333336489
PatchCore,VisA,category_binary,crop_topk_ensemble,V6,adaptive_qcru,2162,962,1200,0.9615237352737352,0.9654361649635225,0.9131329765335529,0.9024051803885291,0.29161932101239724
PatchCore,VisA,category_binary,full_all,V0,detector_only,2162,962,1200,0.9131098406098406,0.9241804739546882,0.8605769230769231,0.8390379278445883,0.23408000453980998
PatchCore,VisA,category_binary,full_all,V2,crop_topk_vlm,2162,962,1200,0.526143018018018,0.5790372884486319,0.7138607971445567,0.5550416281221091,0.0
PatchCore,VisA,category_binary,full_all,V3,naive_detector_crop_fusion,2162,962,1200,0.8328343728343728,0.8656935538639747,0.7909433962264151,0.7437557816836263,0.33842407346015985
PatchCore,VisA,category_binary,full_all,V4,quality_weighted_crop,2162,962,1200,0.9136269923769924,0.9314234893477158,0.8610421836228288,0.8445883441258094,0.29737894631600736
PatchCore,VisA,category_binary,full_all,V5,fixed_quality_consistency,2162,962,1200,0.8802477477477477,0.9033965884083729,0.8276699029126214,0.8029602220166513,0.3556715549755466
PatchCore,VisA,category_binary,full_all,V6,adaptive_qcru,2162,962,1200,0.9144525294525294,0.9322613646603939,0.8616274266831887,0.8450508788159112,0.2860414597349155
PatchCore,VisA,generic_binary,crop_or_full,V0,detector_only,2162,962,1200,0.9131098406098406,0.9241804739546882,0.8605769230769231,0.8390379278445883,0.23408000453980998
PatchCore,VisA,generic_binary,crop_or_full,V2,crop_topk_vlm,2162,962,1200,0.8799649168399168,0.9204808762974382,0.8141738772146684,0.7913968547641073,0.44202967071153676
PatchCore,VisA,generic_binary,crop_or_full,V3,naive_detector_crop_fusion,2162,962,1200,0.9574185724185724,0.965648889512428,0.9156327543424317,0.9056429232192414,0.3698470882110394
PatchCore,VisA,generic_binary,crop_or_full,V4,quality_weighted_crop,2162,962,1200,0.969306133056133,0.9736708739684978,0.9303849303849304,0.9213691026827012,0.27378864788731355
PatchCore,VisA,generic_binary,crop_or_full,V5,fixed_quality_consistency,2162,962,1200,0.9702286902286902,0.9758333137373332,0.9302325581395349,0.9222941720629048,0.3353310462481943
PatchCore,VisA,generic_binary,crop_or_full,V6,adaptive_qcru,2162,962,1200,0.9696474358974358,0.9740717434850971,0.9304987735077679,0.9213691026827012,0.2611839348124879
PatchCore,VisA,generic_binary,crop_topk_ensemble,V0,detector_only,2162,962,1200,0.9131098406098406,0.9241804739546882,0.8605769230769231,0.8390379278445883,0.23408000453980998
PatchCore,VisA,generic_binary,crop_topk_ensemble,V2,crop_topk_vlm,2162,962,1200,0.8959463790713791,0.9317675847567005,0.8318293683347006,0.8103607770582794,0.4489742548334203
PatchCore,VisA,generic_binary,crop_topk_ensemble,V3,naive_detector_crop_fusion,2162,962,1200,0.9676957726957727,0.9720463231558957,0.9306020066889632,0.9232192414431082,0.3956886832318351
