backbone,dataset,strategy,eval_mode,V3,V4,V5,V6,delta_v6_minus_v3_naive,delta_v6_minus_v4_quality,delta_v6_minus_v5_fixed_qc,delta_v5_minus_v4_quality,v6_beats_naive,v6_beats_quality,v6_beats_fixed_qc,v5_beats_quality
FastFlow,VisA,inspection_binary,crop_or_full,0.9499315661815662,0.9686209286209286,0.9724358974358974,0.9692628205128205,0.019331254331254377,0.0006418918918918992,-0.0031730769230768896,0.003814968814968789,True,True,False,True
FastFlow,VisA,inspection_binary,crop_topk_ensemble,0.9688244975744976,0.977797124047124,0.9841597366597367,0.978259702009702,0.009435204435204403,0.00046257796257798134,-0.005900034650034636,0.006362612612612617,True,True,False,True
FastFlow,VisA,inspection_binary,full_all,0.8550294525294525,0.928329002079002,0.9086564449064449,0.9295651420651421,0.07453568953568956,0.001236139986140028,0.020908697158697143,-0.019672557172557115,True,True,True,False
PatchCore,VisA,category_binary,crop_or_full,0.9191943866943867,0.9537084199584199,0.9439622314622315,0.9541987179487179,0.03500433125433122,0.0004902979902979832,0.010236486486486451,-0.009746188496188468,True,True,True,False
PatchCore,VisA,category_binary,crop_topk_ensemble,0.9302668052668053,0.9611062023562024,0.9524922037422038,0.9615237352737352,0.03125693000692997,0.00041753291753288124,0.009031531531531467,-0.008613998613998586,True,True,True,False
PatchCore,VisA,category_binary,full_all,0.8328343728343728,0.9136269923769924,0.8802477477477477,0.9144525294525294,0.08161815661815663,0.0008255370755370084,0.034204781704781695,-0.033379244629244686,True,True,True,False
PatchCore,VisA,generic_binary,crop_or_full,0.9574185724185724,0.969306133056133,0.9702286902286902,0.9696474358974358,0.012228863478863428,0.0003413028413028485,-0.0005812543312543328,0.0009225571725571813,True,True,False,True
PatchCore,VisA,generic_binary,crop_topk_ensemble,0.9676957726957727,0.9755933818433818,0.977489604989605,0.9758948371448372,0.008199064449064486,0.0003014553014553112,-0.0015947678447678637,0.001896223146223175,True,True,False,True
PatchCore,VisA,generic_binary,full_all,0.8335282397782398,0.9135576923076923,0.882168225918226,0.9144152806652807,0.0808870408870409,0.0008575883575883125,0.03224705474705469,-0.03138946638946638,True,True,True,False
PatchCore,VisA,inspection_binary,crop_or_full,0.9510239085239085,0.9649870062370063,0.9664812889812889,0.9653430353430353,0.014319126819126837,0.00035602910602905435,-0.0011382536382535946,0.001494282744282649,True,True,False,True
PatchCore,VisA,inspection_binary,crop_topk_ensemble,0.9616450103950104,0.9718425155925156,0.9740081427581427,0.9721604296604297,0.010515419265419323,0.000317914067914149,-0.001847713097713033,0.002165627165627182,True,True,False,True
PatchCore,VisA,inspection_binary,full_all,0.8521534996534996,0.9188877338877339,0.8926697851697851,0.9196240471240471,0.06747054747054748,0.0007363132363131797,0.026954261954261982,-0.026217948717948802,True,True,True,False
