backbone,dataset,strategy,eval_mode,V3,V4,V5,V6,delta_v6_minus_v3_naive,delta_v6_minus_v4_quality,delta_v6_minus_v5_fixed_qc,delta_v5_minus_v4_quality,v6_beats_naive,v6_beats_quality,v6_beats_fixed_qc,v5_beats_quality,failure_reason
FastFlow,VisA,inspection_binary,crop_or_full,0.9499315661815662,0.9686209286209286,0.9724358974358974,0.9692628205128205,0.019331254331254377,0.0006418918918918992,-0.0031730769230768896,0.003814968814968789,True,True,False,True,V6_not_better_than_fixed_qc
FastFlow,VisA,inspection_binary,crop_topk_ensemble,0.9688244975744976,0.977797124047124,0.9841597366597367,0.978259702009702,0.009435204435204403,0.00046257796257798134,-0.005900034650034636,0.006362612612612617,True,True,False,True,V6_not_better_than_fixed_qc
PatchCore,VisA,generic_binary,crop_or_full,0.9574185724185724,0.969306133056133,0.9702286902286902,0.9696474358974358,0.012228863478863428,0.0003413028413028485,-0.0005812543312543328,0.0009225571725571813,True,True,False,True,V6_not_better_than_fixed_qc
PatchCore,VisA,generic_binary,crop_topk_ensemble,0.9676957726957727,0.9755933818433818,0.977489604989605,0.9758948371448372,0.008199064449064486,0.0003014553014553112,-0.0015947678447678637,0.001896223146223175,True,True,False,True,V6_not_better_than_fixed_qc
PatchCore,VisA,inspection_binary,crop_or_full,0.9510239085239085,0.9649870062370063,0.9664812889812889,0.9653430353430353,0.014319126819126837,0.00035602910602905435,-0.0011382536382535946,0.001494282744282649,True,True,False,True,V6_not_better_than_fixed_qc
PatchCore,VisA,inspection_binary,crop_topk_ensemble,0.9616450103950104,0.9718425155925156,0.9740081427581427,0.9721604296604297,0.010515419265419323,0.000317914067914149,-0.001847713097713033,0.002165627165627182,True,True,False,True,V6_not_better_than_fixed_qc
