method,n,normal,anomaly,auroc,ap
D_raw,150,50,100,0.9614,0.9811976771880659
M_global,150,50,100,0.6852,0.8172522940830707
M_tight_top1,150,50,100,0.6718,0.7794870199999933
M_context_top1,150,50,100,0.6082,0.7304185052176935
M_context_top3max,150,50,100,0.5794,0.7223725912267162
D_z,150,50,100,0.9614,0.9811976771880659
M_context_top1_z,150,50,100,0.6082,0.7304185052176935
naive_context_top1,150,50,100,0.9444000000000001,0.9748301244263432
naive_context_top3max,150,50,100,0.9326,0.9696393578256737
