config_name,num_categories,mean_raw_abnormal_f1,mean_calibrated_abnormal_f1,mean_delta_abnormal_f1,mean_raw_normal_fp_ratio,mean_calibrated_normal_fp_ratio,mean_delta_normal_fp_ratio,max_delta,lr,identity_weight,residual_weight,normal_fp_weight,dice_weight
cfg01_baseline,4,0.5125511447057695,0.5145824466426069,0.0020313019368374263,0.025082055860341297,0.026901820742501546,0.001819764882160249,0.1,0.0005,2.0,1.0,1.0,1.0
cfg02_smaller_delta,4,0.5125511447057695,0.5051771558732833,-0.0073739888324861474,0.025082055860341297,0.031068238286081483,0.005986182425740184,0.05,0.0005,2.0,1.0,1.0,1.0
cfg03_larger_delta,4,0.5125511447057695,0.5183686629377395,0.005817518231970145,0.025082055860341297,0.02557731633136209,0.0004952604710207922,0.15,0.0005,2.0,1.0,1.0,1.0
cfg04_stronger_identity,4,0.5125511447057695,0.5139860448720913,0.0014349001663218203,0.025082055860341297,0.025629401929450756,0.0005473460691094605,0.1,0.0005,5.0,2.0,1.0,1.0
cfg05_weaker_identity,4,0.5125511447057695,0.5136080112690222,0.001056866563252698,0.025082055860341297,0.027842815259981835,0.0027607593996405366,0.1,0.0005,1.0,0.5,1.0,1.0
cfg06_stronger_normal_fp,4,0.5125511447057695,0.5156751483674155,0.0031240036616459466,0.025082055860341297,0.024970973385803185,-0.00011108247453811212,0.1,0.0005,2.0,1.0,3.0,1.0
cfg07_lower_lr,4,0.5125511447057695,0.514557750441824,0.0020066057360544065,0.025082055860341297,0.032722774168261054,0.007640718307919757,0.1,0.0002,2.0,1.0,1.0,1.0
cfg08_weaker_dice,4,0.5125511447057695,0.5127172455048126,0.00016610079904304242,0.025082055860341297,0.027280246260435993,0.002198190400094697,0.1,0.0005,2.0,1.0,1.0,0.5
