method,baseline,delta_macro_auroc,lower95,upper95,categories_improved,categories,bootstrap_replicates
map_max,detector,-0.0005006600660066008,-0.0018031751361703157,0.0008183945292298347,8,12,2000
top01,detector,-0.0017149614961496148,-0.003563982913086643,0.00013169553713498043,8,12,2000
top1,detector,-0.010426127612761274,-0.014961779535263573,-0.006016210437252617,8,12,2000
top5,detector,-0.025358360836083612,-0.03285710059967085,-0.017804656161442316,6,12,2000
