category,image,corr,global_q95,tiled_q95,log_q95_ratio,global_q99,tiled_q99,log_q99_ratio,global_q999,tiled_q999,log_q999_ratio,global_mean,tiled_mean,positive_excess_over_global_q99
can,000_regular,0.7991930898739501,0.07980412244796753,0.13085034489631653,0.49447910191179945,0.10534562170505524,0.14802460372447968,0.3401319214552279,0.14381390810012817,0.1673545092344284,0.15159421325594677,0.040917471051216125,0.08155984431505203,0.3878723978996277
can,001_regular,0.7780731306095499,0.08175946772098541,0.13522373139858246,0.5031490601245159,0.10443566739559174,0.1568036675453186,0.40642323877443604,0.12953419983386993,0.17975476384162903,0.3276485611889637,0.04048340395092964,0.08221007138490677,0.4007195830345154
can,002_regular,0.8467346495835556,0.10123346745967865,0.16682764887809753,0.4995318285385843,0.12083293497562408,0.1963246464729309,0.48536075966476266,0.14338073134422302,0.22061380743980408,0.43091014609465444,0.039649225771427155,0.08966611325740814,0.4141596853733063
can,003_regular,0.7320563330390076,0.06226860731840134,0.1298661082983017,0.7350465801068973,0.08084028959274292,0.1492932140827179,0.6134367771265208,0.11179646849632263,0.16883817315101624,0.41226072831897564,0.029735226184129715,0.08206898719072342,0.6479467749595642
can,004_regular,0.5243463544906053,0.04359377920627594,0.12823230028152466,1.0789290035905006,0.059858690947294235,0.14469514787197113,0.8826424671225975,0.0913323312997818,0.16665610671043396,0.6014276015149196,0.01932385563850403,0.08127155900001526,1.0351685285568237
can,005_regular,0.69434379878294,0.06467565894126892,0.1312517523765564,0.707732336294514,0.08475599437952042,0.14952316880226135,0.5676748821830317,0.10975848138332367,0.17092248797416687,0.4429278389446228,0.030851401388645172,0.08248496055603027,0.6094195246696472
can,006_regular,0.8408467544839705,0.10910664498806,0.18150267004966736,0.5089445663113044,0.12512528896331787,0.2121230959892273,0.5278512005904634,0.1440427005290985,0.2326107919216156,0.4792568488458082,0.04346108064055443,0.09839698672294617,0.4391975402832031
can,007_regular,0.8011404205188251,0.10022230446338654,0.17749345302581787,0.5715429605551108,0.11913600564002991,0.2033883035182953,0.5348512320996326,0.14169816672801971,0.2260608673095703,0.46710507847326577,0.035771723836660385,0.09411953389644623,0.4900997579097748
can,008_regular,0.7744319463739614,0.08566193282604218,0.13541603088378906,0.45794321408819794,0.107283815741539,0.15696020424365997,0.38051449065834125,0.12967878580093384,0.17861342430114746,0.32016331533249903,0.042776040732860565,0.08413586765527725,0.3885940909385681
can,009_regular,0.7203823606955031,0.10550461709499359,0.16152165830135345,0.42588452490489376,0.12541720271110535,0.1861894130706787,0.39511870389218695,0.14515161514282227,0.21420426666736603,0.38915125908141585,0.03880627080798149,0.09058861434459686,0.41361260414123535
