category,n_normal,median_log_q95_ratio,median_log_q99_ratio,median_log_q999_ratio,median_corr,median_positive_excess_over_global_q99,q90_log_q99_ratio,normal_tail_cutoff,selected_resolution,route_reason
can,46,0.500558703777228,0.4584608646953906,0.3938041574647039,0.7885699324006892,0.43851450085639954,0.6213666066376755,0.5169346593257832,672,normal-tail stable
fabric,43,0.026153930864044803,0.015644870420997943,-0.006526125589186268,0.7487705480934422,0.06463021039962769,0.04334433163832607,0.5169346593257832,672,normal-tail stable
fruit_jelly,37,0.07385653483501023,0.03769966780232664,0.0338802142018476,0.9406893781289745,0.11520708352327347,0.08691738751136277,0.5169346593257832,672,normal-tail stable
rice,35,0.09517398780262268,0.08597346603463753,0.06534037233089102,0.5677519304587718,0.10689256340265274,0.10818135377159002,0.5169346593257832,672,normal-tail stable
sheet_metal,19,0.4429420778604946,0.4694384473729665,0.4528668553932837,0.5448092259289031,0.3799480199813843,0.5134986585550133,0.5169346593257832,672,normal-tail stable
vial,41,0.21514163627428454,0.14862697150754975,0.1122028594254914,0.9217614553344979,0.06253405660390854,0.20121766841567412,0.5169346593257832,672,normal-tail stable
wallplugs,33,0.10562980056272152,0.07292352125631096,0.05640874781465228,0.8846604178742744,0.05731559917330742,0.10258979440136098,0.5169346593257832,672,normal-tail stable
walnuts,48,0.02099334401476364,0.014279715330566548,0.0065867041158164715,0.9301091691599312,0.05327390134334564,0.04783994448817556,0.5169346593257832,672,normal-tail stable
