backbone,strategy,eval_mode,debiased_method,category,num_images,num_normal,num_anomaly,has_both_classes,candidate_coverage,auroc,ap,best_f1,best_accuracy,best_threshold,vlm_only_auroc,vlm_only_ap,vlm_only_best_f1,vlm_only_best_accuracy,delta_auroc_vs_vlm,delta_ap_vs_vlm,delta_best_f1_vs_vlm
FastFlow,inspection_binary,crop_or_full,qcr_u_neutral_q_fixed,cashew,150,50,100,True,0.6666666666666666,0.9986,0.9993457943925234,0.9949748743718593,0.9933333333333333,0.3538975883050806,0.9958,0.9982644628099173,0.9949748743718593,0.9933333333333333,0.0028000000000000247,0.0010813315826060377,0.0
FastFlow,inspection_binary,crop_or_full,vlm_only,cashew,150,50,100,True,0.6666666666666666,0.9958,0.9982644628099173,0.9949748743718593,0.9933333333333333,0.2643005906028793,0.9958,0.9982644628099173,0.9949748743718593,0.9933333333333333,0.0,0.0,0.0
FastFlow,inspection_binary,crop_or_full,candidate_quality_original,cashew,150,50,100,True,0.6666666666666666,0.995,1.0,0.9949748743718593,0.9933333333333333,0.2404036964837383,0.9958,0.9982644628099173,0.9949748743718593,0.9933333333333333,-0.0008000000000000229,0.001735537190082681,0.0
FastFlow,inspection_binary,crop_or_full,qcr_u_no_q_fixed,cashew,150,50,100,True,0.6666666666666666,0.9946,0.9978365079365079,0.99,0.9866666666666667,0.23999486705164827,0.9958,0.9982644628099173,0.9949748743718593,0.9933333333333333,-0.0011999999999999789,-0.0004279548734094085,-0.004974874371859284
FastFlow,inspection_binary,crop_or_full,candidate_quality_neutral,cashew,150,50,100,True,0.6666666666666666,0.93,0.9761860674275463,0.9637305699481865,0.9533333333333334,0.5119937942604488,0.9958,0.9982644628099173,0.9949748743718593,0.9933333333333333,-0.06579999999999997,-0.022078395382370997,-0.031244304423672764
FastFlow,inspection_binary,crop_or_full,detector_only,cashew,150,50,100,True,0.6666666666666666,0.8922,0.9483757652879192,0.8815165876777251,0.8333333333333334,0.2830768575984286,0.9958,0.9982644628099173,0.9949748743718593,0.9933333333333333,-0.10360000000000003,-0.04988869752199809,-0.11345828669413416
FastFlow,inspection_binary,crop_or_full,qcr_u_original_fixed,chewinggum,150,50,100,True,0.6666666666666666,1.0,1.0,1.0,1.0,0.34824969163336866,0.9966,0.9982977252446122,0.99,0.9866666666666667,0.0033999999999999586,0.001702274755387756,0.010000000000000009
FastFlow,inspection_binary,crop_or_full,qcr_u_original_detector_aware,chewinggum,150,50,100,True,0.6666666666666666,1.0,1.0,1.0,1.0,0.39967339214041586,0.9966,0.9982977252446122,0.99,0.9866666666666667,0.0033999999999999586,0.001702274755387756,0.010000000000000009
FastFlow,inspection_binary,crop_or_full,qcr_u_neutral_q_detector_aware,chewinggum,150,50,100,True,0.6666666666666666,1.0,1.0,1.0,1.0,0.39967339214041586,0.9966,0.9982977252446122,0.99,0.9866666666666667,0.0033999999999999586,0.001702274755387756,0.010000000000000009
FastFlow,inspection_binary,crop_or_full,qcr_u_no_q_detector_aware,chewinggum,150,50,100,True,0.6666666666666666,0.9998,0.9999009900990099,0.9950248756218906,0.9933333333333333,0.34912374354392184,0.9966,0.9982977252446122,0.99,0.9866666666666667,0.0031999999999999806,0.0016032648543976569,0.005024875621890579
FastFlow,inspection_binary,crop_or_full,qcr_u_neutral_q_fixed,chewinggum,150,50,100,True,0.6666666666666666,0.9978,0.9988849553635307,0.9900990099009901,0.9866666666666667,0.34824969163336866,0.9966,0.9982977252446122,0.99,0.9866666666666667,0.0011999999999999789,0.0005872301189184803,9.90099009900991e-05
FastFlow,inspection_binary,crop_or_full,qcr_u_no_q_fixed,chewinggum,150,50,100,True,0.6666666666666666,0.9974,0.9987878581735724,0.99,0.9866666666666667,0.348948352290387,0.9966,0.9982977252446122,0.99,0.9866666666666667,0.0007999999999999119,0.000490132928960163,0.0
FastFlow,inspection_binary,crop_or_full,vlm_only,chewinggum,150,50,100,True,0.6666666666666666,0.9966,0.9982977252446122,0.99,0.9866666666666667,0.3779887666384555,0.9966,0.9982977252446122,0.99,0.9866666666666667,0.0,0.0,0.0
FastFlow,inspection_binary,crop_or_full,candidate_quality_original,chewinggum,150,50,100,True,0.6666666666666666,0.995,1.0,0.9949748743718593,0.9933333333333333,0.0456892863517778,0.9966,0.9982977252446122,0.99,0.9866666666666667,-0.0016000000000000458,0.001702274755387756,0.004974874371859284
FastFlow,inspection_binary,crop_or_full,detector_only,chewinggum,150,50,100,True,0.6666666666666666,0.9898,0.9960090763761806,0.9847715736040609,0.98,0.413938724007642,0.9966,0.9982977252446122,0.99,0.9866666666666667,-0.006800000000000028,-0.0022886488684316086,-0.005228426395939123
FastFlow,inspection_binary,crop_or_full,candidate_quality_neutral,chewinggum,150,50,100,True,0.6666666666666666,0.53,0.8128052892637285,0.8,0.6666666666666666,0.0,0.9966,0.9982977252446122,0.99,0.9866666666666667,-0.4666,-0.18549243598088372,-0.18999999999999995
FastFlow,inspection_binary,crop_or_full,qcr_u_original_detector_aware,fryum,150,50,100,True,0.6666666666666666,1.0,1.0,1.0,1.0,0.2830407965099635,0.9902,0.9959479591836735,0.98,0.9733333333333334,0.009800000000000031,0.004052040816326485,0.020000000000000018
FastFlow,inspection_binary,crop_or_full,qcr_u_original_fixed,fryum,150,50,100,True,0.6666666666666666,0.9992,0.9996153846153847,0.9949748743718593,0.9933333333333333,0.24277600397887567,0.9902,0.9959479591836735,0.98,0.9733333333333334,0.009000000000000008,0.0036674254317111687,0.014974874371859292
FastFlow,inspection_binary,crop_or_full,qcr_u_no_q_detector_aware,fryum,150,50,100,True,0.6666666666666666,0.999,0.9995107180620973,0.98989898989899,0.9866666666666667,0.3550878261759022,0.9902,0.9959479591836735,0.98,0.9733333333333334,0.00880000000000003,0.003562758878423833,0.009898989898989963
FastFlow,inspection_binary,crop_or_full,qcr_u_neutral_q_detector_aware,fryum,150,50,100,True,0.6666666666666666,0.9972,0.9986935426958362,0.98989898989899,0.9866666666666667,0.3531601376014458,0.9902,0.9959479591836735,0.98,0.9733333333333334,0.007000000000000006,0.002745583512162697,0.009898989898989963
FastFlow,inspection_binary,crop_or_full,candidate_quality_original,fryum,150,50,100,True,0.6666666666666666,0.995,1.0,0.9949748743718593,0.9933333333333333,0.0808090049078265,0.9902,0.9959479591836735,0.98,0.9733333333333334,0.0048000000000000265,0.004052040816326485,0.014974874371859292
FastFlow,inspection_binary,crop_or_full,vlm_only,fryum,150,50,100,True,0.6666666666666666,0.9902,0.9959479591836735,0.98,0.9733333333333334,0.2727434658557799,0.9902,0.9959479591836735,0.98,0.9733333333333334,0.0,0.0,0.0
FastFlow,inspection_binary,crop_or_full,qcr_u_neutral_q_fixed,fryum,150,50,100,True,0.6666666666666666,0.9884,0.9953477131012627,0.9795918367346939,0.9733333333333334,0.378754719192705,0.9902,0.9959479591836735,0.98,0.9733333333333334,-0.0018000000000000238,-0.0006002460824108269,-0.00040816326530612734
FastFlow,inspection_binary,crop_or_full,qcr_u_no_q_fixed,fryum,150,50,100,True,0.6666666666666666,0.9884,0.9953698959639554,0.9795918367346939,0.9733333333333334,0.33482552696440504,0.9902,0.9959479591836735,0.98,0.9733333333333334,-0.0018000000000000238,-0.0005780632197180946,-0.00040816326530612734
FastFlow,inspection_binary,crop_or_full,detector_only,fryum,150,50,100,True,0.6666666666666666,0.9496,0.9762500544261796,0.9178743961352657,0.8866666666666667,0.3355346706669524,0.9902,0.9959479591836735,0.98,0.9733333333333334,-0.04059999999999997,-0.01969790475749389,-0.06212560386473431
FastFlow,inspection_binary,crop_or_full,candidate_quality_neutral,fryum,150,50,100,True,0.6666666666666666,0.51,0.8030489595473759,0.8,0.6666666666666666,0.0,0.9902,0.9959479591836735,0.98,0.9733333333333334,-0.48019999999999996,-0.19289899963629764,-0.17999999999999994
FastFlow,inspection_binary,crop_or_full,candidate_quality_original,macaroni1,200,100,100,True,0.5,0.995,1.0,0.9949748743718593,0.995,0.3336951253026469,0.964,0.9746151065646186,0.9346733668341709,0.935,0.031000000000000028,0.025384893435381417,0.06030150753768837
FastFlow,inspection_binary,crop_or_full,qcr_u_original_detector_aware,macaroni1,200,100,100,True,0.5,0.9889,0.9917033599502082,0.9696969696969697,0.97,0.34660293144228954,0.964,0.9746151065646186,0.9346733668341709,0.935,0.024900000000000033,0.017088253385589613,0.03502360286279882
FastFlow,inspection_binary,crop_or_full,qcr_u_original_fixed,macaroni1,200,100,100,True,0.5,0.9874,0.9909627605248912,0.9743589743589743,0.975,0.38349108606829896,0.964,0.9746151065646186,0.9346733668341709,0.935,0.023400000000000087,0.0163476539602726,0.039685607524803435
FastFlow,inspection_binary,crop_or_full,qcr_u_no_q_detector_aware,macaroni1,200,100,100,True,0.5,0.9695,0.9782676636308314,0.9368421052631579,0.94,0.438975582970052,0.964,0.9746151065646186,0.9346733668341709,0.935,0.00550000000000006,0.0036525570662128137,0.002168738428987016
FastFlow,inspection_binary,crop_or_full,qcr_u_no_q_fixed,macaroni1,200,100,100,True,0.5,0.968,0.9779858954557191,0.9353233830845771,0.935,0.3660191828231283,0.964,0.9746151065646186,0.9346733668341709,0.935,0.0040000000000000036,0.00337078889110054,0.0006500162504061713
FastFlow,inspection_binary,crop_or_full,qcr_u_neutral_q_detector_aware,macaroni1,200,100,100,True,0.5,0.9658,0.9771537156417771,0.9430051813471503,0.945,0.436185072037578,0.964,0.9746151065646186,0.9346733668341709,0.935,0.0018000000000000238,0.002538609077158527,0.008331814512979374
FastFlow,inspection_binary,crop_or_full,qcr_u_neutral_q_fixed,macaroni1,200,100,100,True,0.5,0.9652,0.9777812602545782,0.9405940594059405,0.94,0.38349108606829896,0.964,0.9746151065646186,0.9346733668341709,0.935,0.0011999999999999789,0.00316615368995965,0.005920692571769637
FastFlow,inspection_binary,crop_or_full,vlm_only,macaroni1,200,100,100,True,0.5,0.964,0.9746151065646186,0.9346733668341709,0.935,0.3864216993109457,0.964,0.9746151065646186,0.9346733668341709,0.935,0.0,0.0,0.0
FastFlow,inspection_binary,crop_or_full,detector_only,macaroni1,200,100,100,True,0.5,0.8792,0.8810759022531788,0.8230088495575221,0.8,0.3495813019883397,0.964,0.9746151065646186,0.9346733668341709,0.935,-0.08479999999999999,-0.0935392043114398,-0.11166451727664883
FastFlow,inspection_binary,crop_or_full,candidate_quality_neutral,macaroni1,200,100,100,True,0.5,0.8,0.8949167734395538,0.8888888888888888,0.9,0.5034042168649829,0.964,0.9746151065646186,0.9346733668341709,0.935,-0.16399999999999992,-0.0796983331250648,-0.045784477945282065
FastFlow,inspection_binary,crop_or_full,candidate_quality_original,macaroni2,200,100,100,True,0.5,0.995,1.0,0.9949748743718593,0.995,0.1031957210021118,0.8122,0.8449905844252585,0.7641509433962265,0.75,0.18279999999999996,0.15500941557474146,0.2308239309756328
FastFlow,inspection_binary,crop_or_full,qcr_u_original_detector_aware,macaroni2,200,100,100,True,0.5,0.941,0.95368441984105,0.8947368421052632,0.9,0.4440812635779834,0.8122,0.8449905844252585,0.7641509433962265,0.75,0.12879999999999991,0.10869383541579147,0.1305858987090367
FastFlow,inspection_binary,crop_or_full,qcr_u_original_fixed,macaroni2,200,100,100,True,0.5,0.9217,0.9403485413881596,0.8663101604278075,0.875,0.4478506921949433,0.8122,0.8449905844252585,0.7641509433962265,0.75,0.10949999999999993,0.09535795696290106,0.10215921703158104
FastFlow,inspection_binary,crop_or_full,qcr_u_no_q_detector_aware,macaroni2,200,100,100,True,0.5,0.8417,0.8644741216728532,0.7946428571428571,0.77,0.39708040617661305,0.8122,0.8449905844252585,0.7641509433962265,0.75,0.02949999999999997,0.019483537247594662,0.030491913746630628
FastFlow,inspection_binary,crop_or_full,qcr_u_neutral_q_detector_aware,macaroni2,200,100,100,True,0.5,0.8342,0.855031206030935,0.7981220657276995,0.785,0.4440812635779834,0.8122,0.8449905844252585,0.7641509433962265,0.75,0.02200000000000002,0.010040621605676425,0.033971122331473036
