backbone,strategy,eval_mode,category,num_images,num_normal,num_anomaly,candidate_rate_all,candidate_rate_normal,candidate_rate_anomaly,q_mean_normal,q_mean_anomaly,d_mean_normal,d_mean_anomaly,m_mean_normal,m_mean_anomaly,k_mean_normal,k_mean_anomaly,corr_q_y,corr_d_y,corr_m_y,corr_k_y,corr_q_d,corr_q_m,corr_d_m,candidate_rate_gap_anomaly_minus_normal,q_gap_anomaly_minus_normal,d_gap_anomaly_minus_normal,m_gap_anomaly_minus_normal
FastFlow,inspection_binary,crop_or_full,candle,200,100,100,0.5,0.0,1.0,0.0,0.5726022941602509,0.3054228744887833,0.7699808272541395,0.1969883495742539,0.4734616058528774,0.20894805812182896,0.4150866896698131,0.9185586535436917,0.8033352063032855,0.7917303208305989,0.7044338689166585,0.8351919368934222,0.7017560052022171,0.6604275106877672,1.0,0.5726022941602509,0.4645579527653562,0.2764732562786235
FastFlow,inspection_binary,crop_or_full,capsules,160,60,100,0.625,0.0,1.0,0.0,0.663137584602592,0.38443502710635324,0.6720003195123592,0.20369886822495395,0.7330523525817558,0.21630015985239442,0.5048844718934246,0.8541547564722065,0.4341873989743907,0.838541869493252,0.7015800308093543,0.5575102970519542,0.7136249282926475,0.3737035528109242,1.0,0.663137584602592,0.2875652924060059,0.5293534843568019
FastFlow,inspection_binary,crop_or_full,cashew,150,50,100,0.6666666666666666,0.0,1.0,0.0,0.6863267469725405,0.2541005108433603,0.7282520359423553,0.11212359296651084,0.7299956025431943,0.13713013475942631,0.5156397711599994,0.8247136907774267,0.647618096169484,0.8096560022034572,0.7632779657722789,0.711919927198106,0.6118633531480728,0.444857491045751,1.0,0.6863267469725405,0.474151525098995,0.6178720095766834
FastFlow,inspection_binary,crop_or_full,chewinggum,150,50,100,0.6666666666666666,0.0,1.0,0.0,0.48061542868073365,0.23045522510373742,0.9189144515253886,0.18009120874047999,0.5760700900207739,0.18322519651409722,0.4729914153555628,0.8247136907774267,0.8170531110312093,0.810963146653389,0.7978981901504824,0.7934978713326837,0.6044742758906,0.6520430604230755,1.0,0.48061542868073365,0.6884592264216512,0.3959788812802939
FastFlow,inspection_binary,crop_or_full,fryum,150,50,100,0.6666666666666666,0.0,1.0,0.0,0.5056957256415536,0.25171210236903774,0.7366436524694232,0.14860220047266895,0.5933182881819754,0.16532676606895585,0.49849992901591683,0.8247136907774267,0.7361265504486302,0.8005110372733656,0.7783018367288579,0.7619077247411497,0.7101630029276846,0.6221041169555835,1.0,0.5056957256415536,0.48493155010038547,0.4447160877093065
FastFlow,inspection_binary,crop_or_full,macaroni1,200,100,100,0.5,0.0,1.0,0.0,0.6377671417386225,0.32313786713951187,0.7144006513640164,0.23807120447718474,0.5903994468000924,0.22155638576461442,0.45866396581514585,0.9185586535436917,0.6580269775163147,0.8036816207950075,0.7768344976865535,0.7376623254412807,0.7655506907907282,0.6127796516323379,1.0,0.6377671417386225,0.39126278422450456,0.3523282423229076
FastFlow,inspection_binary,crop_or_full,macaroni2,200,100,100,0.5,0.0,1.0,0.0,0.5090390544257102,0.3523915585290245,0.5733209515313594,0.3705924881636312,0.5791065214581963,0.28175057682218335,0.4008350305306944,0.9185586535436917,0.38258064784826373,0.5407530215780201,0.3938732770878981,0.43612180520900323,0.4734235502009558,0.23428750688432048,1.0,0.5090390544257102,0.22092939300233494,0.20851403329456508
FastFlow,inspection_binary,crop_or_full,pcb1,200,100,100,0.5,0.0,1.0,0.0,0.5450832305341514,0.28236523845878175,0.6286906579765122,0.44895955099294765,0.4876250563066231,0.2853146535390586,0.40950235754862585,0.9185586535436917,0.681860074920433,0.12696091121610786,0.46038485949851937,0.6847011852278526,0.15080526265252686,0.12356192360027864,1.0,0.5450832305341514,0.3463254195177305,0.03866550531367546
FastFlow,inspection_binary,crop_or_full,pcb2,200,100,100,0.5,0.0,1.0,0.0,0.611059203480519,0.20090343270250657,0.5991427104118334,0.1463971796622198,0.5796883533070466,0.14802431058449134,0.42729389151718744,0.9185586535436917,0.6541007181894954,0.8393626282112857,0.7740631817527777,0.6933554320036772,0.7967171105269141,0.5471570698316875,1.0,0.611059203480519,0.3982392777093269,0.43329117364482683
FastFlow,inspection_binary,crop_or_full,pcb3,201,101,100,0.4975124378109453,0.0,1.0,0.0,0.9214577814226123,0.31185017541256976,0.6690455148018936,0.34825996839049334,0.4816330137925404,0.28334169612420096,0.39434905150129446,0.9195469385724475,0.6703415859457176,0.34400929900823446,0.3829375696337924,0.7550077337150464,0.2976669467110111,0.32614817633227705,1.0,0.9214577814226123,0.3571953393893238,0.13337304540204709
