category,num_images,candidate_rows,no_candidate_images,avg_candidates_per_image,top1_gt_iou,top1_gt_f1,best_gt_iou,best_gt_f1,hit_iou_0_1,hit_iou_0_3
grid,28,36,0,1.2857142857142858,0.3149347142857143,0.4559350714285716,0.31788585714285716,0.46033282142857146,1.0,0.39285714285714285
screw,60,83,0,1.3833333333333333,0.2735840666666667,0.38407579999999997,0.31578283333333335,0.4478801,0.8666666666666667,0.5333333333333333
leather,46,46,0,1.0,0.3444190652173913,0.5023771521739132,0.3444190652173913,0.5023771521739132,1.0,0.6304347826086957
wood,30,57,0,1.9,0.26785223333333336,0.39247019999999994,0.3065573333333333,0.44554466666666664,0.9333333333333333,0.4
