category,weight_id,tune_patchcore_f1,tune_enhanced_f1,mean_w,contrast_w,peak_w,stability_w,compact_w,aspect_w,area_penalty_w
grid,0,0.4360690516139159,0.4360690516139159,1.0,0.0,0.0,0.0,0.0,0.0,0.0
grid,1,0.4360690516139159,0.4360690516139159,0.8,0.0,0.0,0.0,0.0,0.0,0.2
grid,2,0.4360690516139159,0.4360690516139159,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
grid,3,0.4360690516139159,0.4360690516139159,0.8,0.0,0.0,0.0,0.0,0.2,0.0
grid,4,0.4360690516139159,0.4360690516139159,0.6666666666666667,0.0,0.0,0.0,0.0,0.16666666666666669,0.16666666666666669
grid,5,0.4360690516139159,0.4360690516139159,0.5714285714285715,0.0,0.0,0.0,0.0,0.14285714285714288,0.28571428571428575
grid,6,0.4360690516139159,0.4360690516139159,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
grid,7,0.4360690516139159,0.4360690516139159,0.5714285714285714,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285
grid,8,0.4360690516139159,0.4360690516139159,0.5,0.0,0.0,0.0,0.0,0.25,0.25
grid,9,0.4360690516139159,0.4360690516139159,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
grid,10,0.4360690516139159,0.4360690516139159,0.5714285714285714,0.0,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285
grid,11,0.4360690516139159,0.4285054459750893,0.5,0.0,0.0,0.0,0.25,0.0,0.25
grid,12,0.4360690516139159,0.4360690516139159,0.5714285714285714,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0
grid,13,0.4360690516139159,0.4360690516139159,0.5,0.0,0.0,0.0,0.25,0.125,0.125
grid,14,0.4360690516139159,0.4285054459750893,0.4444444444444444,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.2222222222222222
grid,15,0.4360690516139159,0.4360690516139159,0.5,0.0,0.0,0.0,0.25,0.25,0.0
