method,n,normal,anomaly,auroc,ap
D_raw,150,50,100,0.9884000000000001,0.9953147197249776
M_global,150,50,100,0.7660000000000001,0.8847926644276127
M_tight_top1,150,50,100,0.8286,0.9075922440973468
M_context_top1,150,50,100,0.8316,0.9121717606436219
M_context_top3max,150,50,100,0.6863999999999999,0.8461301726433405
D_z,150,50,100,0.9884000000000001,0.9953147197249776
M_context_top1_z,150,50,100,0.8316,0.9121717606436219
naive_context_top1,150,50,100,0.9822,0.9925480396695183
naive_context_top3max,150,50,100,0.9807999999999999,0.9927433446735772
