dataset,category,method,score_column,num_images,num_normal,num_anomaly,auroc,ap,best_f1,best_accuracy,best_threshold,full_auroc,full_ap,full_best_f1,full_best_accuracy,delta_auroc_vs_full,delta_ap_vs_full,delta_best_f1_vs_full,delta_accuracy_vs_full
MVTec AD 2,ALL_PRIMARY,patchcore_score,patchcore_score,78,33,45,0.7232323232323232,0.7736457906664762,0.8108108108108109,0.7307692307692307,0.5164018869400024,0.41683501683501684,0.5191866882363796,0.7317073170731707,0.5769230769230769,0.3063973063973064,0.2544591024300966,0.07910349373764014,0.15384615384615385
MVTec AD 2,ALL_PRIMARY,tight_crop_top1,tight_top1_score,78,33,45,0.494949494949495,0.5831511464623408,0.7563025210084033,0.6282051282051282,0.005143612623214722,0.41683501683501684,0.5191866882363796,0.7317073170731707,0.5769230769230769,0.07811447811447814,0.0639644582259612,0.024595203935232623,0.05128205128205132
MVTec AD 2,ALL_PRIMARY,tight_crop_topk_mean,tight_topk_mean_score,78,33,45,0.4936026936026936,0.6057128792151106,0.7317073170731707,0.5769230769230769,0.005143612623214722,0.41683501683501684,0.5191866882363796,0.7317073170731707,0.5769230769230769,0.07676767676767676,0.08652619097873104,0.0,0.0
MVTec AD 2,ALL_PRIMARY,full_image,full_image_score,78,33,45,0.41683501683501684,0.5191866882363796,0.7317073170731707,0.5769230769230769,0.002645522356033325,0.41683501683501684,0.5191866882363796,0.7317073170731707,0.5769230769230769,0.0,0.0,0.0,0.0
MVTec AD 2,ALL_PRIMARY,context_1.50_top1,context_top1_score,78,33,45,0.397979797979798,0.547714493009209,0.7317073170731707,0.5769230769230769,0.002974212169647217,0.41683501683501684,0.5191866882363796,0.7317073170731707,0.5769230769230769,-0.018855218855218847,0.028527804772829457,0.0,0.0
MVTec AD 2,ALL_PRIMARY,context_1.50_topk_max,context_topk_max_score,78,33,45,0.367003367003367,0.5373803824153863,0.7317073170731707,0.5769230769230769,0.002974212169647217,0.41683501683501684,0.5191866882363796,0.7317073170731707,0.5769230769230769,-0.04983164983164984,0.018193694179006736,0.0,0.0
MVTec AD 2,ALL_PRIMARY,context_1.50_topk_mean,context_topk_mean_score,78,33,45,0.3468013468013468,0.5274876754932454,0.7317073170731707,0.5769230769230769,0.002974212169647217,0.41683501683501684,0.5191866882363796,0.7317073170731707,0.5769230769230769,-0.07003367003367006,0.008300987256865788,0.0,0.0
MVTec AD 2,ALL_PRIMARY,tight_crop_topk_max,tight_topk_max_score,78,33,45,0.331986531986532,0.5020608527995032,0.7317073170731707,0.5769230769230769,0.005143612623214722,0.41683501683501684,0.5191866882363796,0.7317073170731707,0.5769230769230769,-0.08484848484848484,-0.017125835436876402,0.0,0.0
MVTec AD 2,fabric,patchcore_score,patchcore_score,78,33,45,0.7232323232323232,0.7736457906664762,0.8108108108108109,0.7307692307692307,0.5164018869400024,0.41683501683501684,0.5191866882363796,0.7317073170731707,0.5769230769230769,0.3063973063973064,0.2544591024300966,0.07910349373764014,0.15384615384615385
MVTec AD 2,fabric,tight_crop_top1,tight_top1_score,78,33,45,0.494949494949495,0.5831511464623408,0.7563025210084033,0.6282051282051282,0.005143612623214722,0.41683501683501684,0.5191866882363796,0.7317073170731707,0.5769230769230769,0.07811447811447814,0.0639644582259612,0.024595203935232623,0.05128205128205132
MVTec AD 2,fabric,tight_crop_topk_mean,tight_topk_mean_score,78,33,45,0.4936026936026936,0.6057128792151106,0.7317073170731707,0.5769230769230769,0.005143612623214722,0.41683501683501684,0.5191866882363796,0.7317073170731707,0.5769230769230769,0.07676767676767676,0.08652619097873104,0.0,0.0
MVTec AD 2,fabric,full_image,full_image_score,78,33,45,0.41683501683501684,0.5191866882363796,0.7317073170731707,0.5769230769230769,0.002645522356033325,0.41683501683501684,0.5191866882363796,0.7317073170731707,0.5769230769230769,0.0,0.0,0.0,0.0
MVTec AD 2,fabric,context_1.50_top1,context_top1_score,78,33,45,0.397979797979798,0.547714493009209,0.7317073170731707,0.5769230769230769,0.002974212169647217,0.41683501683501684,0.5191866882363796,0.7317073170731707,0.5769230769230769,-0.018855218855218847,0.028527804772829457,0.0,0.0
MVTec AD 2,fabric,context_1.50_topk_max,context_topk_max_score,78,33,45,0.367003367003367,0.5373803824153863,0.7317073170731707,0.5769230769230769,0.002974212169647217,0.41683501683501684,0.5191866882363796,0.7317073170731707,0.5769230769230769,-0.04983164983164984,0.018193694179006736,0.0,0.0
MVTec AD 2,fabric,context_1.50_topk_mean,context_topk_mean_score,78,33,45,0.3468013468013468,0.5274876754932454,0.7317073170731707,0.5769230769230769,0.002974212169647217,0.41683501683501684,0.5191866882363796,0.7317073170731707,0.5769230769230769,-0.07003367003367006,0.008300987256865788,0.0,0.0
MVTec AD 2,fabric,tight_crop_topk_max,tight_topk_max_score,78,33,45,0.331986531986532,0.5020608527995032,0.7317073170731707,0.5769230769230769,0.005143612623214722,0.41683501683501684,0.5191866882363796,0.7317073170731707,0.5769230769230769,-0.08484848484848484,-0.017125835436876402,0.0,0.0
