method,baseline,delta_macro_auroc,lower95,upper95,categories_improved,categories,bootstrap_replicates
linear,D_z,0.012333938393839382,0.006141226362682268,0.01887777223980919,6,12,2000
mlp,D_z,0.019000412541254126,0.013385018690808949,0.025366261426690538,7,12,2000
mlp,linear,0.00666647414741474,0.003637694406354249,0.009918562569302654,8,12,2000
mlp,linear_contrast,0.015999752475247524,0.010871797530392528,0.021623656249771347,9,12,2000
