category,num_samples,num_train_samples,num_eval_samples,num_train_abnormal,num_train_normal,num_eval_abnormal,num_eval_normal,raw_tuned_threshold,calibrated_tuned_threshold,eval_raw_abnormal_iou,eval_raw_abnormal_f1,eval_calibrated_abnormal_iou,eval_calibrated_abnormal_f1,eval_delta_abnormal_f1,eval_raw_normal_fp_ratio,eval_calibrated_normal_fp_ratio,eval_delta_normal_fp_ratio,training_log,weight_path,config_name,max_delta,lr,identity_weight,residual_weight,normal_fp_weight,dice_weight
grid,40,20,20,14,6,14,6,0.7999999999999999,0.75,0.3686210022688658,0.518161011805415,0.36049933501924886,0.508606254188402,-0.009554757617012966,0.02820405505952381,0.023799558886054423,-0.004404496173469389,results/analysis/conservative_residual_calibration_sweep/cfg04_stronger_identity/MVTecAD/grid/training_log.csv,runs/analysis/conservative_residual_calibration_sweep/cfg04_stronger_identity/MVTecAD/grid/conservative_residual_calibrator.pth,cfg04_stronger_identity,0.1,0.0005,5.0,2.0,1.0,1.0
screw,81,40,41,30,10,30,11,0.85,0.7999999999999999,0.2899362469415336,0.4146124896060946,0.2932920399208767,0.4190225589159835,0.004410069309888909,0.01769226866883117,0.015509044526901668,-0.002183224141929504,results/analysis/conservative_residual_calibration_sweep/cfg04_stronger_identity/MVTecAD/screw/training_log.csv,runs/analysis/conservative_residual_calibration_sweep/cfg04_stronger_identity/MVTecAD/screw/conservative_residual_calibrator.pth,cfg04_stronger_identity,0.1,0.0005,5.0,2.0,1.0,1.0
leather,62,31,31,23,8,23,8,0.9,0.85,0.35708128685972873,0.5155601815015897,0.3586115630068802,0.5165301741778956,0.0009699926763059308,0.00582698899872449,0.007361587213010204,0.001534598214285714,results/analysis/conservative_residual_calibration_sweep/cfg04_stronger_identity/MVTecAD/leather/training_log.csv,runs/analysis/conservative_residual_calibration_sweep/cfg04_stronger_identity/MVTecAD/leather/conservative_residual_calibrator.pth,cfg04_stronger_identity,0.1,0.0005,5.0,2.0,1.0,1.0
wood,40,20,20,15,5,15,5,0.75,0.7,0.4464616836770947,0.6018708959099787,0.45798117162655544,0.6117851922060841,0.009914296296105407,0.048604910714285715,0.055847417091836736,0.007242506377551021,results/analysis/conservative_residual_calibration_sweep/cfg04_stronger_identity/MVTecAD/wood/training_log.csv,runs/analysis/conservative_residual_calibration_sweep/cfg04_stronger_identity/MVTecAD/wood/conservative_residual_calibrator.pth,cfg04_stronger_identity,0.1,0.0005,5.0,2.0,1.0,1.0
grid,40,20,20,14,6,14,6,0.7999999999999999,0.75,0.3686210022688658,0.518161011805415,0.36647442507499345,0.5155043882988676,-0.0026566235065473842,0.02820405505952381,0.025732754039115648,-0.0024713010204081634,results/analysis/conservative_residual_calibration_sweep/cfg05_weaker_identity/MVTecAD/grid/training_log.csv,runs/analysis/conservative_residual_calibration_sweep/cfg05_weaker_identity/MVTecAD/grid/conservative_residual_calibrator.pth,cfg05_weaker_identity,0.1,0.0005,1.0,0.5,1.0,1.0
screw,81,40,41,30,10,30,11,0.85,0.7999999999999999,0.2899362469415336,0.4146124896060946,0.2894660475100878,0.41308499868257764,-0.0015274909235169498,0.01769226866883117,0.020294019596474953,0.002601750927643781,results/analysis/conservative_residual_calibration_sweep/cfg05_weaker_identity/MVTecAD/screw/training_log.csv,runs/analysis/conservative_residual_calibration_sweep/cfg05_weaker_identity/MVTecAD/screw/conservative_residual_calibrator.pth,cfg05_weaker_identity,0.1,0.0005,1.0,0.5,1.0,1.0
leather,62,31,31,23,8,23,8,0.9,0.85,0.35708128685972873,0.5155601815015897,0.35735332021763044,0.5150363836046264,-0.0005237978969632184,0.00582698899872449,0.007735271843112245,0.0019082828443877549,results/analysis/conservative_residual_calibration_sweep/cfg05_weaker_identity/MVTecAD/leather/training_log.csv,runs/analysis/conservative_residual_calibration_sweep/cfg05_weaker_identity/MVTecAD/leather/conservative_residual_calibrator.pth,cfg05_weaker_identity,0.1,0.0005,1.0,0.5,1.0,1.0
wood,40,20,20,15,5,15,5,0.75,0.7,0.4464616836770947,0.6018708959099787,0.456935350962449,0.610806274490017,0.008935378580038345,0.048604910714285715,0.05760921556122449,0.009004304846938774,results/analysis/conservative_residual_calibration_sweep/cfg05_weaker_identity/MVTecAD/wood/training_log.csv,runs/analysis/conservative_residual_calibration_sweep/cfg05_weaker_identity/MVTecAD/wood/conservative_residual_calibrator.pth,cfg05_weaker_identity,0.1,0.0005,1.0,0.5,1.0,1.0
grid,40,20,20,14,6,14,6,0.7999999999999999,0.75,0.3686210022688658,0.518161011805415,0.3657519020404599,0.5146700000484081,-0.0034910117570068344,0.02820405505952381,0.02556667198129252,-0.002637383078231293,results/analysis/conservative_residual_calibration_sweep/cfg06_stronger_normal_fp/MVTecAD/grid/training_log.csv,runs/analysis/conservative_residual_calibration_sweep/cfg06_stronger_normal_fp/MVTecAD/grid/conservative_residual_calibrator.pth,cfg06_stronger_normal_fp,0.1,0.0005,2.0,1.0,3.0,1.0
screw,81,40,41,30,10,30,11,0.85,0.85,0.2899362469415336,0.4146124896060946,0.29654532718894977,0.4227261123085411,0.008113622702446532,0.01769226866883117,0.013095721243042672,-0.004596547425788499,results/analysis/conservative_residual_calibration_sweep/cfg06_stronger_normal_fp/MVTecAD/screw/training_log.csv,runs/analysis/conservative_residual_calibration_sweep/cfg06_stronger_normal_fp/MVTecAD/screw/conservative_residual_calibrator.pth,cfg06_stronger_normal_fp,0.1,0.0005,2.0,1.0,3.0,1.0
leather,62,31,31,23,8,23,8,0.9,0.85,0.35708128685972873,0.5155601815015897,0.3583328250599192,0.5167188106826951,0.0011586291811054306,0.00582698899872449,0.006721340880102041,0.0008943518813775506,results/analysis/conservative_residual_calibration_sweep/cfg06_stronger_normal_fp/MVTecAD/leather/training_log.csv,runs/analysis/conservative_residual_calibration_sweep/cfg06_stronger_normal_fp/MVTecAD/leather/conservative_residual_calibrator.pth,cfg06_stronger_normal_fp,0.1,0.0005,2.0,1.0,3.0,1.0
wood,40,20,20,15,5,15,5,0.75,0.7,0.4464616836770947,0.6018708959099787,0.45426724089205134,0.6085856704300173,0.006714774520038658,0.048604910714285715,0.05450015943877551,0.005895248724489793,results/analysis/conservative_residual_calibration_sweep/cfg06_stronger_normal_fp/MVTecAD/wood/training_log.csv,runs/analysis/conservative_residual_calibration_sweep/cfg06_stronger_normal_fp/MVTecAD/wood/conservative_residual_calibrator.pth,cfg06_stronger_normal_fp,0.1,0.0005,2.0,1.0,3.0,1.0
grid,40,20,20,14,6,14,6,0.7999999999999999,0.75,0.3686210022688658,0.518161011805415,0.37231311567894326,0.5227765713351354,0.004615559529720481,0.02820405505952381,0.03320644664115646,0.00500239158163265,results/analysis/conservative_residual_calibration_sweep/cfg07_lower_lr/MVTecAD/grid/training_log.csv,runs/analysis/conservative_residual_calibration_sweep/cfg07_lower_lr/MVTecAD/grid/conservative_residual_calibrator.pth,cfg07_lower_lr,0.1,0.0002,2.0,1.0,1.0,1.0
screw,81,40,41,30,10,30,11,0.85,0.7999999999999999,0.2899362469415336,0.4146124896060946,0.2924386995851107,0.41757130447593954,0.00295881486984495,0.01769226866883117,0.016641422193877552,-0.0010508464749536192,results/analysis/conservative_residual_calibration_sweep/cfg07_lower_lr/MVTecAD/screw/training_log.csv,runs/analysis/conservative_residual_calibration_sweep/cfg07_lower_lr/MVTecAD/screw/conservative_residual_calibrator.pth,cfg07_lower_lr,0.1,0.0002,2.0,1.0,1.0,1.0
leather,62,31,31,23,8,23,8,0.9,0.85,0.35708128685972873,0.5155601815015897,0.351899955381149,0.5067878508878636,-0.008772330613726065,0.00582698899872449,0.010635064572704082,0.0048080755739795915,results/analysis/conservative_residual_calibration_sweep/cfg07_lower_lr/MVTecAD/leather/training_log.csv,runs/analysis/conservative_residual_calibration_sweep/cfg07_lower_lr/MVTecAD/leather/conservative_residual_calibrator.pth,cfg07_lower_lr,0.1,0.0002,2.0,1.0,1.0,1.0
wood,40,20,20,15,5,15,5,0.75,0.7,0.4464616836770947,0.6018708959099787,0.4583718276520141,0.6110952750683569,0.00922437915837826,0.048604910714285715,0.07040816326530612,0.021803252551020405,results/analysis/conservative_residual_calibration_sweep/cfg07_lower_lr/MVTecAD/wood/training_log.csv,runs/analysis/conservative_residual_calibration_sweep/cfg07_lower_lr/MVTecAD/wood/conservative_residual_calibrator.pth,cfg07_lower_lr,0.1,0.0002,2.0,1.0,1.0,1.0
grid,40,20,20,14,6,14,6,0.7999999999999999,0.75,0.3686210022688658,0.518161011805415,0.3608686230780573,0.5091231673043143,-0.009037844501100678,0.02820405505952381,0.02366669323979592,-0.004537361819727893,results/analysis/conservative_residual_calibration_sweep/cfg08_weaker_dice/MVTecAD/grid/training_log.csv,runs/analysis/conservative_residual_calibration_sweep/cfg08_weaker_dice/MVTecAD/grid/conservative_residual_calibrator.pth,cfg08_weaker_dice,0.1,0.0005,2.0,1.0,1.0,0.5
screw,81,40,41,30,10,30,11,0.85,0.7999999999999999,0.2899362469415336,0.4146124896060946,0.2894781149068706,0.4137166251434202,-0.0008958644626743673,0.01769226866883117,0.01882283453153989,0.001130565862708717,results/analysis/conservative_residual_calibration_sweep/cfg08_weaker_dice/MVTecAD/screw/training_log.csv,runs/analysis/conservative_residual_calibration_sweep/cfg08_weaker_dice/MVTecAD/screw/conservative_residual_calibrator.pth,cfg08_weaker_dice,0.1,0.0005,2.0,1.0,1.0,0.5
leather,62,31,31,23,8,23,8,0.9,0.85,0.35708128685972873,0.5155601815015897,0.3583325517095486,0.5168230492286199,0.0012628677270302147,0.00582698899872449,0.006546954719387755,0.0007199657206632647,results/analysis/conservative_residual_calibration_sweep/cfg08_weaker_dice/MVTecAD/leather/training_log.csv,runs/analysis/conservative_residual_calibration_sweep/cfg08_weaker_dice/MVTecAD/leather/conservative_residual_calibrator.pth,cfg08_weaker_dice,0.1,0.0005,2.0,1.0,1.0,0.5
wood,40,20,20,15,5,15,5,0.75,0.7,0.4464616836770947,0.6018708959099787,0.4576407992084145,0.6112061403428957,0.009335244432917,0.048604910714285715,0.060084502551020415,0.0114795918367347,results/analysis/conservative_residual_calibration_sweep/cfg08_weaker_dice/MVTecAD/wood/training_log.csv,runs/analysis/conservative_residual_calibration_sweep/cfg08_weaker_dice/MVTecAD/wood/conservative_residual_calibrator.pth,cfg08_weaker_dice,0.1,0.0005,2.0,1.0,1.0,0.5
