category,epoch,loss
screw,1,1.874129295349121
screw,20,1.7886962890625
screw,40,1.7092444896697998
screw,60,1.6471705436706543
screw,80,1.594059705734253
screw,100,1.5498813390731812
screw,120,1.5103075504302979
screw,140,1.4741040468215942
screw,160,1.4390311241149902
screw,180,1.387624979019165
screw,200,1.3484383821487427
