category,num_total_images,num_tune_images,num_eval_images,eval_patchcore_top1_iou,eval_patchcore_top1_f1,eval_enhanced_region_iou,eval_enhanced_region_f1,eval_delta_f1,tune_patchcore_f1,tune_best_enhanced_f1,best_mean_w,best_contrast_w,best_peak_w,best_stability_w,best_compact_w,best_aspect_w,best_area_penalty_w,candidate_csv,detail_csv,eval_csv
grid,28,14,14,0.33783142816201395,0.48191080870832337,0.33783142816201395,0.48191080870832337,0.0,0.4360690516139159,0.4360690516139159,1.0,0.0,0.0,0.0,0.0,0.0,0.0,results/analysis/enhanced_anomaly_region_scoring/MVTecAD/grid/enhanced_region_candidates.csv,results/analysis/enhanced_anomaly_region_scoring/MVTecAD/grid/enhanced_region_weight_detail.csv,results/analysis/enhanced_anomaly_region_scoring/MVTecAD/grid/enhanced_region_eval_candidates.csv
screw,60,30,30,0.28292041686531383,0.3987098165949906,0.2904961744410714,0.4110554956073363,0.012345679012345678,0.39304952959334966,0.4123477752073847,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,results/analysis/enhanced_anomaly_region_scoring/MVTecAD/screw/enhanced_region_candidates.csv,results/analysis/enhanced_anomaly_region_scoring/MVTecAD/screw/enhanced_region_weight_detail.csv,results/analysis/enhanced_anomaly_region_scoring/MVTecAD/screw/enhanced_region_eval_candidates.csv
leather,46,23,23,0.36091277345363043,0.5191495666157696,0.36091277345363043,0.5191495666157696,0.0,0.49260020992875264,0.49260020992875264,1.0,0.0,0.0,0.0,0.0,0.0,0.0,results/analysis/enhanced_anomaly_region_scoring/MVTecAD/leather/enhanced_region_candidates.csv,results/analysis/enhanced_anomaly_region_scoring/MVTecAD/leather/enhanced_region_weight_detail.csv,results/analysis/enhanced_anomaly_region_scoring/MVTecAD/leather/enhanced_region_eval_candidates.csv
wood,30,15,15,0.34533983365273174,0.4862005392774839,0.34533983365273174,0.4862005392774839,0.0,0.30273363817568183,0.3060814588064961,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,results/analysis/enhanced_anomaly_region_scoring/MVTecAD/wood/enhanced_region_candidates.csv,results/analysis/enhanced_anomaly_region_scoring/MVTecAD/wood/enhanced_region_weight_detail.csv,results/analysis/enhanced_anomaly_region_scoring/MVTecAD/wood/enhanced_region_eval_candidates.csv
MEAN,164,82,82,0.3317511130334225,0.47149268279914186,0.33364505242736187,0.4745791025522283,0.0030864197530864196,0.406113107327925,0.4117746238891373,0.8333333333333333,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,,,
