comparison_scope,strategy,baseline_mode,method_mode,baseline_num_used,method_num_used,same_image_count,method_coverage_ratio,baseline_top1,method_top1,delta_top1,baseline_top2,method_top2,delta_top2,baseline_macro_f1,method_macro_f1,delta_macro_f1,fairness_note
Stage 6.4 full-test reasoning,category_visual,full_all,crop_or_full,328,328,True,0.9969512195121952,0.2591731086027088,0.2786715029261132,0.01949839432340439,0.4632610939112487,0.493384516277907,0.030123422366658326,0.1856691603783598,0.1952009019123791,0.009531741534019311,same 328-image setting
Stage 6.4 full-test reasoning,category_visual,full_all,crop_topk_ensemble,328,328,True,0.9969512195121952,0.2591731086027088,0.2872241345050605,0.0280510259023517,0.4632610939112487,0.5124413495375266,0.049180255626277924,0.1856691603783598,0.2069395526298873,0.02127039225152752,same 328-image setting
Stage 6.4 full-test reasoning,category_visual,full_all,crop_only,328,327,False,0.9969512195121952,0.2591731086027088,0.2797679941541834,0.020594885551474595,0.4632610939112487,0.4954991779320424,0.0322380840207937,0.1856691603783598,0.1960583777698549,0.01038921739149512,near-full candidate subset; not identical image count
Stage 6.4 full-test reasoning,category_visual,full_all,crop_topk_only,328,327,False,0.9969512195121952,0.2591731086027088,0.2883989465351357,0.02922583793242689,0.4632610939112487,0.514634331993667,0.05137323808241834,0.1856691603783598,0.2082549039452386,0.022585743566878813,near-full candidate subset; not identical image count
Stage 6.4 full-test reasoning,generic_label,full_all,crop_or_full,328,328,True,0.9969512195121952,0.2850407668788339,0.3178307821984629,0.032790015319628996,0.4989940484202835,0.5029733861507989,0.003979337730515398,0.1542766858163478,0.1950251647892969,0.040748478972949115,same 328-image setting
Stage 6.4 full-test reasoning,generic_label,full_all,crop_topk_ensemble,328,328,True,0.9969512195121952,0.2850407668788339,0.3387691575486029,0.05372839066976898,0.4989940484202835,0.5072100808286701,0.008216032408386642,0.1542766858163478,0.2205549969041201,0.0662783110877723,same 328-image setting
Stage 6.4 full-test reasoning,generic_label,full_all,crop_only,328,327,False,0.9969512195121952,0.2850407668788339,0.318848952624528,0.03380818574569411,0.4989940484202835,0.5002321580806235,0.0012381096603399921,0.1542766858163478,0.1953951925413783,0.04111850672503051,near-full candidate subset; not identical image count
Stage 6.4 full-test reasoning,generic_label,full_all,crop_topk_only,328,327,False,0.9969512195121952,0.2850407668788339,0.3397873279746681,0.0547465610958342,0.4989940484202835,0.5044688527584947,0.005474804338211237,0.1542766858163478,0.2208951329585418,0.066618447142194,near-full candidate subset; not identical image count
Stage 6.4 full-test reasoning,short_visual,full_all,crop_or_full,328,328,True,0.9969512195121952,0.2797521296848259,0.3103711164099507,0.030618986725124808,0.470485036119711,0.5130988436564557,0.04261380753674476,0.1599898825536236,0.1972387447823494,0.03724886222872581,same 328-image setting
Stage 6.4 full-test reasoning,short_visual,full_all,crop_topk_ensemble,328,328,True,0.9969512195121952,0.2797521296848259,0.318704449743284,0.03895232005845811,0.470485036119711,0.5130638296508535,0.04257879353114252,0.1599898825536236,0.2022067647265015,0.04221688217287792,same 328-image setting
Stage 6.4 full-test reasoning,short_visual,full_all,crop_only,328,327,False,0.9969512195121952,0.2797521296848259,0.3112326452320058,0.0314805155471799,0.470485036119711,0.5151351845085861,0.0446501483888751,0.1599898825536236,0.1974951550387597,0.037505272485136104,near-full candidate subset; not identical image count
Stage 6.4 full-test reasoning,short_visual,full_all,crop_topk_only,328,327,False,0.9969512195121952,0.2797521296848259,0.3195659785653392,0.039813848880513314,0.470485036119711,0.5151001705029838,0.04461513438327286,0.1599898825536236,0.2024631749829118,0.04247329242928821,near-full candidate subset; not identical image count
Stage 6.4 full-test reasoning,visual_ensemble,full_all,crop_or_full,328,328,True,0.9969512195121952,0.3169628835515899,0.2822152087379574,-0.0347476748136325,0.4911372100327545,0.5640778737124141,0.07294066367965962,0.1912016996195116,0.1742790813534159,-0.0169226182660957,same 328-image setting
Stage 6.4 full-test reasoning,visual_ensemble,full_all,crop_topk_ensemble,328,328,True,0.9969512195121952,0.3169628835515899,0.280114368401823,-0.03684851514976689,0.4911372100327545,0.5722269228057356,0.0810897127729811,0.1912016996195116,0.1680515581876484,-0.023150141431863225,same 328-image setting
Stage 6.4 full-test reasoning,visual_ensemble,full_all,crop_only,328,327,False,0.9969512195121952,0.3169628835515899,0.2829984167580075,-0.03396446679358239,0.4911372100327545,0.5662708561685543,0.07513364613579981,0.1912016996195116,0.1745194659688005,-0.016682233650711115,near-full candidate subset; not identical image count
Stage 6.4 full-test reasoning,visual_ensemble,full_all,crop_topk_only,328,327,False,0.9969512195121952,0.3169628835515899,0.2808975764218731,-0.03606530712971684,0.4911372100327545,0.5743415844598709,0.08320437442711642,0.1912016996195116,0.168291942803033,-0.02290975681647861,near-full candidate subset; not identical image count
