scope,method,auroc,ap
all_source_fit,D_z,0.9564891914191419,0.9612656648399456
all_source_fit,dino_max,0.9182641501650165,0.9188218223512368
all_source_fit,dino_top1,0.9177368811881188,0.913938051761705
tiny_only_plus_all_normal,D_z,0.8683181016647552,0.5857631767935356
tiny_only_plus_all_normal,dino_max,0.8384804748298244,0.6068704245691235
tiny_only_plus_all_normal,dino_top1,0.8418734299779156,0.5248510343083063
