category,method,variant,pair_accuracy,fraction_correct_to_wrong,fraction_wrong_to_correct,changed_pair_fraction
pcb3,D,brightness_1.1,0.98828125,0.0,0.0,0.0
pcb3,D,contrast_0.9,0.98828125,0.0,0.0,0.0
pcb3,D,contrast_1.1,0.984375,0.00390625,0.0,0.00390625
pcb3,D,identity,0.98828125,0.0,0.0,0.0
pcb3,MLP,brightness_0.9,0.99609375,0.0,0.0,0.0
pcb3,MLP,brightness_1.1,0.99609375,0.0,0.0,0.0
pcb3,MLP,contrast_0.9,0.99609375,0.0,0.0,0.0
pcb3,MLP,contrast_1.1,0.99609375,0.0,0.0,0.0
pcb3,MLP,identity,0.99609375,0.0,0.0,0.0
pcb4,D,brightness_0.9,1.0,0.0,0.0,0.0
pcb4,D,brightness_1.1,1.0,0.0,0.0,0.0
pcb4,D,contrast_0.9,1.0,0.0,0.0,0.0
pcb4,D,contrast_1.1,1.0,0.0,0.0,0.0
pcb4,D,identity,1.0,0.0,0.0,0.0
pcb4,MLP,brightness_0.9,0.98828125,0.00390625,0.0,0.00390625
pcb4,MLP,brightness_1.1,0.9921875,0.0,0.0,0.0
pcb4,MLP,contrast_0.9,0.98828125,0.00390625,0.0,0.00390625
pcb4,MLP,contrast_1.1,0.9921875,0.0,0.0,0.0
pcb4,MLP,identity,0.9921875,0.0,0.0,0.0
pipe_fryum,D,brightness_0.9,1.0,0.0,0.0,0.0
pipe_fryum,D,brightness_1.1,1.0,0.0,0.0,0.0
pipe_fryum,D,contrast_0.9,1.0,0.0,0.0,0.0
pipe_fryum,D,contrast_1.1,1.0,0.0,0.0,0.0
pipe_fryum,D,identity,1.0,0.0,0.0,0.0
pipe_fryum,MLP,brightness_0.9,1.0,0.0,0.0,0.0
pipe_fryum,MLP,brightness_1.1,1.0,0.0,0.0,0.0
pipe_fryum,MLP,contrast_0.9,1.0,0.0,0.0,0.0
pipe_fryum,MLP,contrast_1.1,1.0,0.0,0.0,0.0
pipe_fryum,MLP,identity,1.0,0.0,0.0,0.0
