variant,relative_auroc_change,lower95,upper95
brightness_0.9,0.001953125,-0.004557291666666667,0.009114583333333334
brightness_1.1,0.0003255208333333333,-0.0078125,0.008471679687499881
contrast_0.9,0.004557291666666667,-0.0006510416666666666,0.0107421875
contrast_1.1,-0.0029296875,-0.011393229166666666,0.0032552083333333335
