category,method,value,keep_largest,num_samples,mean_iou,mean_f1,mean_pred_area,mean_threshold
leather,fixed,0.05,False,46,0.011138414577151317,0.02156496245569913,45685.065217391304,0.049999999999999975
leather,fixed,0.05,True,46,0.0111837568182759,0.021654013886149407,45491.13043478261,0.049999999999999975
leather,fixed,0.1,False,46,0.017448928376330285,0.03337380921319953,29353.521739130436,0.09999999999999995
leather,fixed,0.1,True,46,0.018724621247830732,0.035672494746763296,26951.67391304348,0.09999999999999995
leather,fixed,0.15,False,46,0.03487689992669281,0.06467601271600482,13855.760869565218,0.15000000000000005
leather,fixed,0.15,True,46,0.03955129651575937,0.0729024077759506,11096.717391304348,0.15000000000000005
leather,fixed,0.2,False,46,0.05482499873278661,0.09908393015390501,8047.5,0.1999999999999999
leather,fixed,0.2,True,46,0.057876304683140936,0.10449618725467405,7253.521739130435,0.1999999999999999
leather,fixed,0.25,False,46,0.07186997316859403,0.12715132999001819,5990.695652173913,0.25
leather,fixed,0.25,True,46,0.07378758600051966,0.12968221397092972,5690.630434782609,0.25
leather,fixed,0.3,False,46,0.088032945882746,0.1521697427774143,4903.630434782609,0.3000000000000001
leather,fixed,0.3,True,46,0.08832977170634566,0.15198660753384138,4725.478260869565,0.3000000000000001
leather,fixed,0.35,False,46,0.10320481860068009,0.17474721233194826,4140.369565217391,0.35
leather,fixed,0.35,True,46,0.10304603984933093,0.17395989989278138,4004.108695652174,0.35
leather,fixed,0.39999999999999997,False,46,0.11864386212353943,0.1971985519507135,3531.2608695652175,0.3999999999999998
leather,fixed,0.39999999999999997,True,46,0.11794294645581264,0.19582723136190133,3428.2391304347825,0.3999999999999998
leather,fixed,0.44999999999999996,False,46,0.1361272625213929,0.22169951883046865,3027.608695652174,0.4499999999999999
leather,fixed,0.44999999999999996,True,46,0.1350811145904744,0.21996764613622038,2950.086956521739,0.4499999999999999
leather,fixed,0.49999999999999994,False,46,0.15508348448441797,0.2477096337915712,2589.695652173913,0.49999999999999994
leather,fixed,0.49999999999999994,True,46,0.15376575450679938,0.2456085894594858,2533.2391304347825,0.49999999999999994
leather,fixed,0.5499999999999999,False,46,0.17546506087474462,0.2752850455997553,2201.4565217391305,0.55
leather,fixed,0.5499999999999999,True,46,0.17387405651860452,0.27288563294767454,2160.804347826087,0.55
leather,fixed,0.6,False,46,0.1992254064785558,0.306998143003641,1859.391304347826,0.6000000000000002
leather,fixed,0.6,True,46,0.19690264774834326,0.30366993644572793,1828.891304347826,0.6000000000000002
leather,fixed,0.65,False,46,0.22552985149137142,0.3420996624760167,1549.695652173913,0.6499999999999998
leather,fixed,0.65,True,46,0.22210762271472462,0.33750976521276965,1527.8260869565217,0.6499999999999998
leather,fixed,0.7,False,46,0.2545158732060636,0.38053791238353246,1265.8260869565217,0.7
leather,fixed,0.7,True,46,0.2495449888857673,0.37436301075641415,1251.6521739130435,0.7
leather,fixed,0.75,False,46,0.286511407765786,0.42141058439771817,1004.2173913043479,0.75
leather,fixed,0.75,True,46,0.2810977976451509,0.4151341278949663,996.5434782608696,0.75
leather,fixed,0.7999999999999999,False,46,0.31534514753731535,0.4584768371235482,758.3478260869565,0.7999999999999996
leather,fixed,0.7999999999999999,True,46,0.3131167373605356,0.455946980749421,756.5869565217391,0.7999999999999996
leather,fixed,0.85,False,46,0.34032040066281494,0.49243702296247566,544.195652173913,0.8500000000000002
leather,fixed,0.85,True,46,0.34032040066281494,0.49243702296247566,544.195652173913,0.8500000000000002
leather,fixed,0.9,False,46,0.345641324801399,0.5036351803751505,348.2391304347826,0.8999999999999998
leather,fixed,0.9,True,46,0.345641324801399,0.5036351803751505,348.2391304347826,0.8999999999999998
leather,fixed,0.95,False,46,0.2894499157768175,0.43244258123401,166.8913043478261,0.9500000000000004
leather,fixed,0.95,True,46,0.2894499157768175,0.43244258123401,166.8913043478261,0.9500000000000004
leather,percentile,90.0,False,46,0.09648989353277877,0.1552044274417031,5018.0,0.29226556031600287
leather,percentile,90.0,True,46,0.09734507945204987,0.1566614667906874,4774.804347826087,0.29226556031600287
leather,percentile,92.0,False,46,0.11215279829722358,0.17886064635011292,4015.0,0.3493583999250246
leather,percentile,92.0,True,46,0.111807977992173,0.17832942492262358,3895.195652173913,0.3493583999250246
leather,percentile,94.0,False,46,0.13374192571789187,0.21320803187339768,3011.0,0.4330187485269878
leather,percentile,94.0,True,46,0.1324100999436725,0.21117112835228438,2956.413043478261,0.4330187485269878
leather,percentile,95.0,False,46,0.14838759882618033,0.23673005279795747,2509.0,0.4885274696609248
leather,percentile,95.0,True,46,0.14659079971964398,0.2340741157549993,2470.6304347826085,0.4885274696609248
leather,percentile,96.0,False,46,0.16948744903161825,0.2691066772787595,2008.0,0.5551439070183298
leather,percentile,96.0,True,46,0.16687134247286436,0.26544683157484916,1979.3695652173913,0.5551439070183298
leather,percentile,97.0,False,46,0.2028158356969634,0.3164507409738443,1506.0,0.6347652524709702
leather,percentile,97.0,True,46,0.19883043213573243,0.3112945142908664,1486.9565217391305,0.6347652524709702
leather,percentile,98.0,False,46,0.25395929203874246,0.3840364870271258,1004.0,0.7305971332218336
