dataset,strategy,baseline_mode,eval_mode,num_images_total,num_normal,num_anomaly,coverage_ratio,full_all_auroc,crop_or_full_auroc,delta_auroc,full_all_ap,crop_or_full_ap,delta_ap,full_all_best_f1,crop_or_full_best_f1,delta_best_f1,full_all_best_accuracy,crop_or_full_best_accuracy,delta_best_accuracy,crop_topk_ensemble_auroc,crop_topk_ensemble_ap,crop_topk_ensemble_best_f1,crop_topk_ensemble_best_accuracy
VisA,generic_binary,full_all,crop_topk_ensemble,2162,962,1200,0.5550416281221091,0.5874399339933993,,0.29175915841584166,0.6538215920954912,,0.26058528534388525,0.732223105997289,,0.13428001111731014,0.6009680762852405,,0.25441075870646757,0.879199092409241,0.9144068774393764,0.8665031171145992,0.8553788349917081
VisA,inspection_binary,full_all,crop_topk_ensemble,2162,962,1200,0.5550416281221091,0.5949971397139714,,0.2894398789878987,0.6796165066285377,,0.23823732857589552,0.7394776790909408,,0.13884127027196247,0.6215241500829187,,0.24359504560530676,0.8844370187018701,0.9178538352044332,0.8783189493629032,0.8651191956882255
VisA,generic_binary,full_all,crop_or_full,2162,962,1200,0.5550416281221091,0.5874399339933993,0.8665439768976896,0.27910404290429025,0.6538215920954912,0.9049261459950444,0.2511045538995532,0.732223105997289,0.8560338256552957,0.12381071965800672,0.6009680762852405,0.8110401119402985,0.21007203565505794,,,,
VisA,inspection_binary,full_all,crop_or_full,2162,962,1200,0.5550416281221091,0.5949971397139714,0.8672180418041804,0.272220902090209,0.6796165066285377,0.9050029361395072,0.22538642951096954,0.7394776790909408,0.8700258314085976,0.13054815231765682,0.6215241500829187,0.8454482794361525,0.2239241293532338,,,,
VisA,category_binary,full_all,crop_topk_ensemble,2162,962,1200,0.5550416281221091,0.5674309955995601,,0.2214564356435641,0.639491399873558,,0.20452419084154805,0.7265884568321566,,0.12171777551927476,0.5873481550580432,,0.21694651741293536,0.7888874312431242,0.844015590715106,0.8483062323514313,0.8042946724709785
VisA,category_binary,full_all,crop_or_full,2162,962,1200,0.5550416281221091,0.5674309955995601,0.7734795654565456,0.2060485698569855,0.639491399873558,0.8342625875397426,0.19477118766618462,0.7265884568321566,0.8395732074981748,0.11298475066601821,0.5873481550580432,0.7894890132669984,0.20214085820895522,,,,
