category,weight_id,tune_patchcore_f1,tune_rerank_f1,mean_w,max_w,gap_w,area_w,compact_w,aspect_w,semantic_w
screw,0,0.3853646333333333,0.4014367,1.0,0.0,0.0,0.0,0.0,0.0,0.0
screw,1,0.3853646333333333,0.4014367,0.8,0.0,0.0,0.0,0.0,0.0,0.2
screw,2,0.3853646333333333,0.4014367,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
screw,3,0.3853646333333333,0.4014367,0.5,0.0,0.0,0.0,0.0,0.0,0.5
screw,4,0.3853646333333333,0.4014367,0.8,0.0,0.0,0.0,0.0,0.2,0.0
screw,5,0.3853646333333333,0.4014367,0.6666666666666667,0.0,0.0,0.0,0.0,0.16666666666666669,0.16666666666666669
screw,6,0.3853646333333333,0.4014367,0.5714285714285715,0.0,0.0,0.0,0.0,0.14285714285714288,0.28571428571428575
screw,7,0.3853646333333333,0.4014367,0.4444444444444445,0.0,0.0,0.0,0.0,0.11111111111111112,0.4444444444444445
screw,8,0.3853646333333333,0.40531963333333326,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
screw,9,0.3853646333333333,0.4014367,0.5714285714285714,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285
screw,10,0.3853646333333333,0.4014367,0.5,0.0,0.0,0.0,0.0,0.25,0.25
screw,11,0.3853646333333333,0.4014367,0.4,0.0,0.0,0.0,0.0,0.2,0.4
screw,12,0.3853646333333333,0.4014367,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
screw,13,0.3853646333333333,0.4014367,0.5714285714285714,0.0,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285
screw,14,0.3853646333333333,0.4014367,0.5,0.0,0.0,0.0,0.25,0.0,0.25
screw,15,0.3853646333333333,0.4014367,0.4,0.0,0.0,0.0,0.2,0.0,0.4
screw,16,0.3853646333333333,0.4014367,0.5714285714285714,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0
screw,17,0.3853646333333333,0.4014367,0.5,0.0,0.0,0.0,0.25,0.125,0.125
screw,18,0.3853646333333333,0.4014367,0.4444444444444444,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.2222222222222222
screw,19,0.3853646333333333,0.4014367,0.36363636363636365,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091,0.36363636363636365
