category,weight_id,tune_patchcore_f1,tune_enhanced_f1,mean_w,contrast_w,peak_w,stability_w,compact_w,aspect_w,area_penalty_w
screw,0,0.39304952959334966,0.39304952959334966,1.0,0.0,0.0,0.0,0.0,0.0,0.0
screw,1,0.39304952959334966,0.39304952959334966,0.8,0.0,0.0,0.0,0.0,0.0,0.2
screw,2,0.39304952959334966,0.4123477752073847,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
screw,3,0.39304952959334966,0.39304952959334966,0.8,0.0,0.0,0.0,0.0,0.2,0.0
screw,4,0.39304952959334966,0.39304952959334966,0.6666666666666667,0.0,0.0,0.0,0.0,0.16666666666666669,0.16666666666666669
screw,5,0.39304952959334966,0.4123477752073847,0.5714285714285715,0.0,0.0,0.0,0.0,0.14285714285714288,0.28571428571428575
screw,6,0.39304952959334966,0.39304952959334966,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
screw,7,0.39304952959334966,0.39304952959334966,0.5714285714285714,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285
screw,8,0.39304952959334966,0.4123477752073847,0.5,0.0,0.0,0.0,0.0,0.25,0.25
screw,9,0.39304952959334966,0.39304952959334966,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
screw,10,0.39304952959334966,0.4123477752073847,0.5714285714285714,0.0,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285
screw,11,0.39304952959334966,0.4123477752073847,0.5,0.0,0.0,0.0,0.25,0.0,0.25
screw,12,0.39304952959334966,0.39304952959334966,0.5714285714285714,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0
screw,13,0.39304952959334966,0.4123477752073847,0.5,0.0,0.0,0.0,0.25,0.125,0.125
screw,14,0.39304952959334966,0.4123477752073847,0.4444444444444444,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.2222222222222222
screw,15,0.39304952959334966,0.39304952959334966,0.5,0.0,0.0,0.0,0.25,0.25,0.0
screw,16,0.39304952959334966,0.4123477752073847,0.4444444444444445,0.0,0.0,0.0,0.22222222222222224,0.22222222222222224,0.11111111111111112
screw,17,0.39304952959334966,0.4123477752073847,0.4,0.0,0.0,0.0,0.2,0.2,0.2
screw,18,0.39304952959334966,0.39304952959334966,0.5,0.0,0.0,0.0,0.5,0.0,0.0
screw,19,0.39304952959334966,0.4123477752073847,0.4444444444444445,0.0,0.0,0.0,0.4444444444444445,0.0,0.11111111111111112
screw,20,0.39304952959334966,0.4123477752073847,0.4,0.0,0.0,0.0,0.4,0.0,0.2
screw,21,0.39304952959334966,0.39304952959334966,0.4444444444444445,0.0,0.0,0.0,0.4444444444444445,0.11111111111111112,0.0
screw,22,0.39304952959334966,0.4123477752073847,0.4,0.0,0.0,0.0,0.4,0.1,0.1
screw,23,0.39304952959334966,0.4123477752073847,0.36363636363636365,0.0,0.0,0.0,0.36363636363636365,0.09090909090909091,0.18181818181818182
screw,24,0.39304952959334966,0.39304952959334966,0.4,0.0,0.0,0.0,0.4,0.2,0.0
screw,25,0.39304952959334966,0.4123477752073847,0.36363636363636365,0.0,0.0,0.0,0.36363636363636365,0.18181818181818182,0.09090909090909091
screw,26,0.39304952959334966,0.4123477752073847,0.33333333333333337,0.0,0.0,0.0,0.33333333333333337,0.16666666666666669,0.16666666666666669
screw,27,0.39304952959334966,0.39304952959334966,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
screw,28,0.39304952959334966,0.39304952959334966,0.5714285714285714,0.0,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285
screw,29,0.39304952959334966,0.4123477752073847,0.5,0.0,0.0,0.25,0.0,0.0,0.25
screw,30,0.39304952959334966,0.39304952959334966,0.5714285714285714,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0
screw,31,0.39304952959334966,0.39304952959334966,0.5,0.0,0.0,0.25,0.0,0.125,0.125
screw,32,0.39304952959334966,0.4123477752073847,0.4444444444444444,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.2222222222222222
screw,33,0.39304952959334966,0.39304952959334966,0.5,0.0,0.0,0.25,0.0,0.25,0.0
screw,34,0.39304952959334966,0.39304952959334966,0.4444444444444445,0.0,0.0,0.22222222222222224,0.0,0.22222222222222224,0.11111111111111112
screw,35,0.39304952959334966,0.4123477752073847,0.4,0.0,0.0,0.2,0.0,0.2,0.2
screw,36,0.39304952959334966,0.39304952959334966,0.5,0.0,0.0,0.25,0.25,0.0,0.0
screw,37,0.39304952959334966,0.39304952959334966,0.4444444444444445,0.0,0.0,0.22222222222222224,0.22222222222222224,0.0,0.11111111111111112
screw,38,0.39304952959334966,0.4123477752073847,0.4,0.0,0.0,0.2,0.2,0.0,0.2
screw,39,0.39304952959334966,0.39304952959334966,0.4444444444444445,0.0,0.0,0.22222222222222224,0.22222222222222224,0.11111111111111112,0.0
screw,40,0.39304952959334966,0.39304952959334966,0.4,0.0,0.0,0.2,0.2,0.1,0.1
screw,41,0.39304952959334966,0.4123477752073847,0.36363636363636365,0.0,0.0,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.18181818181818182
screw,42,0.39304952959334966,0.39304952959334966,0.4,0.0,0.0,0.2,0.2,0.2,0.0
screw,43,0.39304952959334966,0.39304952959334966,0.36363636363636365,0.0,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.09090909090909091
screw,44,0.39304952959334966,0.4123477752073847,0.33333333333333337,0.0,0.0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669
screw,45,0.39304952959334966,0.39304952959334966,0.4,0.0,0.0,0.2,0.4,0.0,0.0
screw,46,0.39304952959334966,0.39304952959334966,0.36363636363636365,0.0,0.0,0.18181818181818182,0.36363636363636365,0.0,0.09090909090909091
screw,47,0.39304952959334966,0.4123477752073847,0.33333333333333337,0.0,0.0,0.16666666666666669,0.33333333333333337,0.0,0.16666666666666669
screw,48,0.39304952959334966,0.39304952959334966,0.36363636363636365,0.0,0.0,0.18181818181818182,0.36363636363636365,0.09090909090909091,0.0
screw,49,0.39304952959334966,0.39304952959334966,0.3333333333333333,0.0,0.0,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.08333333333333333
screw,50,0.39304952959334966,0.4123477752073847,0.3076923076923077,0.0,0.0,0.15384615384615385,0.3076923076923077,0.07692307692307693,0.15384615384615385
screw,51,0.39304952959334966,0.39304952959334966,0.33333333333333337,0.0,0.0,0.16666666666666669,0.33333333333333337,0.16666666666666669,0.0
screw,52,0.39304952959334966,0.39304952959334966,0.3076923076923077,0.0,0.0,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.07692307692307693
screw,53,0.39304952959334966,0.4123477752073847,0.28571428571428575,0.0,0.0,0.14285714285714288,0.28571428571428575,0.14285714285714288,0.14285714285714288
screw,54,0.39304952959334966,0.39304952959334966,0.5,0.0,0.0,0.5,0.0,0.0,0.0
screw,55,0.39304952959334966,0.39304952959334966,0.4444444444444445,0.0,0.0,0.4444444444444445,0.0,0.0,0.11111111111111112
screw,56,0.39304952959334966,0.39304952959334966,0.4,0.0,0.0,0.4,0.0,0.0,0.2
screw,57,0.39304952959334966,0.39304952959334966,0.4444444444444445,0.0,0.0,0.4444444444444445,0.0,0.11111111111111112,0.0
screw,58,0.39304952959334966,0.39304952959334966,0.4,0.0,0.0,0.4,0.0,0.1,0.1
screw,59,0.39304952959334966,0.39304952959334966,0.36363636363636365,0.0,0.0,0.36363636363636365,0.0,0.09090909090909091,0.18181818181818182
screw,60,0.39304952959334966,0.39304952959334966,0.4,0.0,0.0,0.4,0.0,0.2,0.0
screw,61,0.39304952959334966,0.39304952959334966,0.36363636363636365,0.0,0.0,0.36363636363636365,0.0,0.18181818181818182,0.09090909090909091
screw,62,0.39304952959334966,0.39304952959334966,0.33333333333333337,0.0,0.0,0.33333333333333337,0.0,0.16666666666666669,0.16666666666666669
screw,63,0.39304952959334966,0.39304952959334966,0.4,0.0,0.0,0.4,0.2,0.0,0.0
screw,64,0.39304952959334966,0.39304952959334966,0.36363636363636365,0.0,0.0,0.36363636363636365,0.18181818181818182,0.0,0.09090909090909091
screw,65,0.39304952959334966,0.39304952959334966,0.33333333333333337,0.0,0.0,0.33333333333333337,0.16666666666666669,0.0,0.16666666666666669
screw,66,0.39304952959334966,0.39304952959334966,0.36363636363636365,0.0,0.0,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.0
screw,67,0.39304952959334966,0.39304952959334966,0.3333333333333333,0.0,0.0,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333
screw,68,0.39304952959334966,0.39304952959334966,0.3076923076923077,0.0,0.0,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.15384615384615385
screw,69,0.39304952959334966,0.39304952959334966,0.33333333333333337,0.0,0.0,0.33333333333333337,0.16666666666666669,0.16666666666666669,0.0
screw,70,0.39304952959334966,0.39304952959334966,0.3076923076923077,0.0,0.0,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.07692307692307693
screw,71,0.39304952959334966,0.39304952959334966,0.28571428571428575,0.0,0.0,0.28571428571428575,0.14285714285714288,0.14285714285714288,0.14285714285714288
screw,72,0.39304952959334966,0.39304952959334966,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
screw,73,0.39304952959334966,0.39304952959334966,0.30769230769230765,0.0,0.0,0.30769230769230765,0.30769230769230765,0.0,0.07692307692307691
screw,74,0.39304952959334966,0.4123477752073847,0.2857142857142857,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.14285714285714285
screw,75,0.39304952959334966,0.39304952959334966,0.30769230769230765,0.0,0.0,0.30769230769230765,0.30769230769230765,0.07692307692307691,0.0
