method,auroc,ap
D_z,0.6689311410591172,0.7907620982668357
M_context_top1_z,0.5661276669758812,0.7182628381625349
fixed_source,0.6734180953526191,0.7943886473662681
logistic_source,0.6771522910511005,0.7971339340908694
naive_context_top1,0.6685852072310405,0.7880688111238228
