method,n,normal,anomaly,auroc,ap
D_raw,200,100,100,0.9563999999999999,0.9504056665793419
M_global,200,100,100,0.4327,0.4650445861771655
M_tight_top1,200,100,100,0.8137,0.8546843074106913
M_context_top1,200,100,100,0.7288,0.7321991740582234
M_context_top3max,200,100,100,0.6971,0.703744012925005
D_z,200,100,100,0.9563999999999999,0.9504056665793419
M_context_top1_z,200,100,100,0.7288,0.7321991740582234
naive_context_top1,200,100,100,0.9301,0.9411262624713449
naive_context_top3max,200,100,100,0.9639,0.9637380804738345
