category,threshold,mean_pixel_f1,num_samples
grid,0.05,0.022269959087743058,28
grid,0.1,0.023068245118562987,28
grid,0.15,0.026613109250651405,28
grid,0.2,0.036363895575766594,28
grid,0.25,0.053570692045546084,28
grid,0.3,0.08074562579576675,28
grid,0.35,0.11538548891827576,28
grid,0.39999999999999997,0.15391028340305063,28
grid,0.44999999999999996,0.1993667716997861,28
grid,0.49999999999999994,0.24418501494763659,28
grid,0.5499999999999999,0.2907265758644186,28
grid,0.6,0.3405874721972282,28
grid,0.65,0.3951343882768351,28
grid,0.7,0.4427986385543293,28
grid,0.75,0.4724626884627171,28
grid,0.7999999999999999,0.4778475775132675,28
grid,0.85,0.45514343801056123,28
grid,0.9,0.4116293307826309,28
grid,0.95,0.28974817539318865,28
