method,n,normal,anomaly,auroc,ap
D_raw,150,50,100,0.999,0.9995153846153846
M_global,150,50,100,0.5388,0.668421647129446
M_tight_top1,150,50,100,0.6158,0.7981293316318453
M_context_top1,150,50,100,0.5142,0.7161252232599613
M_context_top3max,150,50,100,0.4794,0.6906010007908332
D_z,150,50,100,0.999,0.9995153846153846
M_context_top1_z,150,50,100,0.5142,0.7161252232599613
naive_context_top1,150,50,100,0.9954000000000001,0.9977653906393351
naive_context_top3max,150,50,100,0.9863999999999999,0.9932512371459528
