scope,method,auroc,ap
all_source_fit,D_z,0.9564891914191419,0.9612656648399456
all_source_fit,full_limited_bank,0.8853495874587458,0.89712936537133
all_source_fit,grid8,0.8068397277227722,0.8443189050020533
all_source_fit,mixed8,0.7311775577557755,0.765943109670903
all_source_fit,top8,0.665527392739274,0.7262545743850015
tiny_only_plus_all_normal,D_z,0.8683181016647552,0.5857631767935356
tiny_only_plus_all_normal,full_limited_bank,0.761482433266335,0.4548972685409467
tiny_only_plus_all_normal,grid8,0.7513237658832177,0.479732328566775
tiny_only_plus_all_normal,mixed8,0.6821494253548813,0.4371561506372805
tiny_only_plus_all_normal,top8,0.6432681097680896,0.4236764300141773
