strategy,image_mode,category,num_images,num_defect_types,fallback_count,top1_accuracy,top2_accuracy,macro_f1
generic_label,full,grid,57,5,0,0.19298245614035087,0.40350877192982454,0.06470588235294118
generic_label,full,leather,92,5,0,0.33695652173913043,0.5217391304347826,0.25868210642404194
generic_label,full,screw,119,5,0,0.226890756302521,0.48739495798319327,0.13314641744548286
generic_label,full,wood,60,5,0,0.38333333333333336,0.5833333333333334,0.16057233704292528
generic_label,gt_crop,grid,57,5,0,0.24561403508771928,0.3157894736842105,0.1688888888888889
generic_label,gt_crop,leather,92,5,0,0.2391304347826087,0.5108695652173914,0.18406527749298224
generic_label,gt_crop,screw,119,5,0,0.23529411764705882,0.4117647058823529,0.17747941281775867
generic_label,gt_crop,wood,60,5,0,0.45,0.65,0.2588829471182412
short_visual,full,grid,57,5,0,0.19298245614035087,0.40350877192982454,0.06470588235294118
short_visual,full,leather,92,5,0,0.2826086956521739,0.5,0.15704225352112675
short_visual,full,screw,119,5,0,0.21008403361344538,0.4117647058823529,0.11070707070707071
short_visual,full,wood,60,5,0,0.43333333333333335,0.5666666666666667,0.3075043236333559
short_visual,gt_crop,grid,57,5,0,0.21052631578947367,0.43859649122807015,0.11052631578947367
short_visual,gt_crop,leather,92,5,0,0.34782608695652173,0.5434782608695652,0.2532361673414305
short_visual,gt_crop,screw,119,5,0,0.14285714285714285,0.2857142857142857,0.07656565656565657
short_visual,gt_crop,wood,60,5,0,0.5166666666666667,0.6,0.3994753754344547
category_visual,full,grid,57,5,0,0.21052631578947367,0.3157894736842105,0.13263157894736843
category_visual,full,leather,92,5,0,0.2826086956521739,0.5,0.19343434343434343
category_visual,full,screw,119,5,0,0.226890756302521,0.47058823529411764,0.14965986394557823
category_visual,full,wood,60,5,0,0.31666666666666665,0.5666666666666667,0.2669508551861493
category_visual,gt_crop,grid,57,5,0,0.3157894736842105,0.45614035087719296,0.2458974358974359
category_visual,gt_crop,leather,92,5,0,0.34782608695652173,0.40217391304347827,0.20625476735316553
category_visual,gt_crop,screw,119,5,0,0.24369747899159663,0.4369747899159664,0.22366800020824074
category_visual,gt_crop,wood,60,5,0,0.3333333333333333,0.5666666666666667,0.3083118833118833
visual_ensemble,full,grid,57,5,0,0.19298245614035087,0.40350877192982454,0.06470588235294118
visual_ensemble,full,leather,92,5,0,0.45652173913043476,0.532608695652174,0.3445141065830721
visual_ensemble,full,screw,119,5,0,0.20168067226890757,0.4117647058823529,0.11499999999999999
visual_ensemble,full,wood,60,5,0,0.4166666666666667,0.6166666666666667,0.24058680954203343
visual_ensemble,gt_crop,grid,57,5,0,0.24561403508771928,0.42105263157894735,0.15219298245614035
visual_ensemble,gt_crop,leather,92,5,0,0.21739130434782608,0.45652173913043476,0.12997938144329896
visual_ensemble,gt_crop,screw,119,5,0,0.16806722689075632,0.44537815126050423,0.11717994558880684
visual_ensemble,gt_crop,wood,60,5,0,0.4666666666666667,0.6666666666666666,0.3355957767722474
visual_ensemble,full,MEAN,328,20,0,0.31696288355158997,0.49113721003275457,0.19120169961951167
category_visual,gt_crop,MEAN,328,20,0,0.31016159324141557,0.4654889301258261,0.24603302169268138
short_visual,gt_crop,MEAN,328,20,0,0.3044690530674512,0.4669472594529803,0.20995087878275387
generic_label,gt_crop,MEAN,328,20,0,0.2925096468793467,0.47210593619598873,0.19732913157946777
generic_label,full,MEAN,328,20,0,0.2850407668788339,0.4989940484202835,0.15427668581634782
short_visual,full,MEAN,328,20,0,0.2797521296848259,0.470485036119711,0.15998988255362362
visual_ensemble,gt_crop,MEAN,328,20,0,0.27443480824824207,0.4974047971591382,0.1837370215651234
category_visual,full,MEAN,328,20,0,0.2591731086027088,0.4632610939112487,0.18566916037835984
