caliper,images,images_with_matches,coverage,median_nearest_distance,reuse_fraction,response_pair_accuracy,MLP_pair_accuracy
0.01,100.0,87.25,0.43555170119811387,0.6970102985699972,0.015037543663207626,0.5032959268403518,0.8107006558370625
0.05,100.0,88.5,0.47612801654694265,0.6970102985699972,0.03006467642249409,0.5147451877145611,0.8125574834170397
0.1,100.0,89.5,0.48737880059712185,0.6970102985699972,0.043082114665495,0.5294177468474012,0.8133065010710346
