dataset,category,role,num_images,num_normal,num_anomaly,full_image_auroc,tight_crop_top1_auroc,tight_crop_topk_mean_auroc,context_1p50_top1_auroc,context_1p50_topk_mean_auroc,best_tight_method,best_tight_auroc,best_tight_delta_vs_full,best_context_method,best_context_auroc,best_context_delta_vs_full,best_vlm_method,best_vlm_auroc,best_vlm_delta_vs_full,patchcore_score_auroc
MVTec AD 2,ALL_PRIMARY,primary_aggregate,243,70,173,0.520148637489678,0.523121387283237,0.50355078447564,0.577291494632535,0.6036333608587944,tight_crop_top1,0.523121387283237,0.002972749793558993,context_1.50_topk_mean,0.6036333608587944,0.08348472336911639,context_1.50_topk_mean,0.6036333608587944,0.08348472336911639,0.8086705202312139
MVTec AD 2,fruit_jelly,primary_category,40,10,30,0.7533333333333333,0.7366666666666667,0.6766666666666666,0.8366666666666667,0.8566666666666667,tight_crop_top1,0.7366666666666667,-0.016666666666666607,context_1.50_topk_mean,0.8566666666666667,0.10333333333333339,context_1.50_topk_mean,0.8566666666666667,0.10333333333333339,0.7166666666666667
MVTec AD 2,sheet_metal,primary_category,57,12,45,0.7129629629629629,0.4925925925925926,0.3518518518518518,0.2444444444444444,0.587037037037037,tight_crop_top1,0.4925925925925926,-0.22037037037037033,context_1.50_topk_max,0.6574074074074074,-0.05555555555555547,full_image,0.7129629629629629,0.0,0.7462962962962963
MVTec AD 2,vial,primary_category,71,18,53,0.6876310272536688,0.3752620545073375,0.3972746331236897,0.6834381551362684,0.5230607966457023,tight_crop_topk_mean,0.3972746331236897,-0.29035639412997905,context_1.50_top1,0.6834381551362684,-0.004192872117400381,full_image,0.6876310272536688,0.0,0.8731656184486373
MVTec AD 2,walnuts,primary_category,75,30,45,0.4296296296296296,0.562962962962963,0.6066666666666667,0.5192592592592593,0.642962962962963,tight_crop_topk_mean,0.6066666666666667,0.1770370370370371,context_1.50_topk_mean,0.642962962962963,0.21333333333333337,context_1.50_topk_mean,0.642962962962963,0.21333333333333337,0.8051851851851852
MVTec AD 2,fabric,secondary_category,78,33,45,0.4168350168350168,0.494949494949495,0.4936026936026936,0.397979797979798,0.3468013468013468,tight_crop_top1,0.494949494949495,0.07811447811447819,context_1.50_top1,0.397979797979798,-0.01885521885521879,tight_crop_top1,0.494949494949495,0.07811447811447819,0.7232323232323232
