protocol,scope,category,method,fusion_pair,alpha_patchcore,num_images,num_normal,num_anomaly,auroc,ap,best_f1,best_accuracy,best_threshold
same_set_grid,category,sheet_metal,fused_patchcore_plus_full_image_0.05,patchcore_plus_full_image,0.05,57,12,45,0.725925925925926,0.9079993445442436,0.9,0.8245614035087719,-1.513452798748877
same_set_grid,category,vial,fused_patchcore_plus_full_image_0.05,patchcore_plus_full_image,0.05,71,18,53,0.6981132075471699,0.8771912465320181,0.8596491228070176,0.7746478873239436,-1.0685267635975322
same_set_grid,category,walnuts,fused_patchcore_plus_full_image_0.05,patchcore_plus_full_image,0.05,75,30,45,0.44074074074074077,0.6439288343943148,0.7499999999999999,0.6,-2.1641441725855026
same_set_grid,ALL_PRIMARY,,fused_patchcore_plus_full_image_0.06,patchcore_plus_full_image,0.06,243,70,173,0.615194054500413,0.8161212184463573,0.8357487922705313,0.720164609053498,-2.1225373650325565
same_set_grid,category,fruit_jelly,fused_patchcore_plus_full_image_0.06,patchcore_plus_full_image,0.06,40,10,30,0.76,0.9075250625495364,0.9090909090909091,0.85,-1.0526979181325091
same_set_grid,category,sheet_metal,fused_patchcore_plus_full_image_0.06,patchcore_plus_full_image,0.06,57,12,45,0.7277777777777777,0.9097087462536453,0.9,0.8245614035087719,-1.4755917495047153
same_set_grid,category,vial,fused_patchcore_plus_full_image_0.06,patchcore_plus_full_image,0.06,71,18,53,0.70020964360587,0.8782092100426677,0.8648648648648648,0.7887323943661971,-0.93849579224265
same_set_grid,category,walnuts,fused_patchcore_plus_full_image_0.06,patchcore_plus_full_image,0.06,75,30,45,0.4414814814814815,0.645149835615316,0.7499999999999999,0.6,-2.1225373650325565
same_set_grid,ALL_PRIMARY,,fused_patchcore_plus_full_image_0.07,patchcore_plus_full_image,0.07,243,70,173,0.6178364987613543,0.8179877517308904,0.8357487922705313,0.720164609053498,-2.08093055747961
same_set_grid,category,fruit_jelly,fused_patchcore_plus_full_image_0.07,patchcore_plus_full_image,0.07,40,10,30,0.76,0.9092768401836671,0.9090909090909091,0.85,-1.0550579001513136
same_set_grid,category,sheet_metal,fused_patchcore_plus_full_image_0.07,patchcore_plus_full_image,0.07,57,12,45,0.7351851851851852,0.9122968125083782,0.9,0.8245614035087719,-1.4474499884960905
same_set_grid,category,vial,fused_patchcore_plus_full_image_0.07,patchcore_plus_full_image,0.07,71,18,53,0.7033542976939203,0.8796404424332571,0.8672566371681416,0.7887323943661971,-1.0219787712042472
same_set_grid,category,walnuts,fused_patchcore_plus_full_image_0.07,patchcore_plus_full_image,0.07,75,30,45,0.4451851851851852,0.647813848627295,0.7499999999999999,0.6,-2.08093055747961
same_set_grid,ALL_PRIMARY,,fused_patchcore_plus_full_image_0.08,patchcore_plus_full_image,0.08,243,70,173,0.6206440957886045,0.8199729780142077,0.8357487922705313,0.720164609053498,-2.0393237499266643
same_set_grid,category,fruit_jelly,fused_patchcore_plus_full_image_0.08,patchcore_plus_full_image,0.08,40,10,30,0.7566666666666667,0.9084449922929956,0.9090909090909091,0.85,-1.0574178821701181
same_set_grid,category,sheet_metal,fused_patchcore_plus_full_image_0.08,patchcore_plus_full_image,0.08,57,12,45,0.7351851851851852,0.9122968125083782,0.9,0.8245614035087719,-1.4193082274874658
same_set_grid,category,vial,fused_patchcore_plus_full_image_0.08,patchcore_plus_full_image,0.08,71,18,53,0.7044025157232705,0.8804490677701844,0.8672566371681416,0.7887323943661971,-0.9987047750076048
same_set_grid,category,walnuts,fused_patchcore_plus_full_image_0.08,patchcore_plus_full_image,0.08,75,30,45,0.44888888888888884,0.6523629611881034,0.7499999999999999,0.6,-2.0393237499266643
same_set_grid,ALL_PRIMARY,,fused_patchcore_plus_full_image_0.09,patchcore_plus_full_image,0.09,243,70,173,0.6238645747316267,0.822486401616638,0.8357487922705313,0.720164609053498,-1.9977169423737184
same_set_grid,category,fruit_jelly,fused_patchcore_plus_full_image_0.09,patchcore_plus_full_image,0.09,40,10,30,0.7633333333333333,0.9114079552559586,0.9090909090909091,0.85,-1.0597778641889226
same_set_grid,category,sheet_metal,fused_patchcore_plus_full_image_0.09,patchcore_plus_full_image,0.09,57,12,45,0.7388888888888888,0.914511354239049,0.9,0.8245614035087719,-1.391166466478841
same_set_grid,category,vial,fused_patchcore_plus_full_image_0.09,patchcore_plus_full_image,0.09,71,18,53,0.7054507337526206,0.8812250213763266,0.8672566371681416,0.7887323943661971,-0.9754307788109622
same_set_grid,category,walnuts,fused_patchcore_plus_full_image_0.09,patchcore_plus_full_image,0.09,75,30,45,0.4548148148148148,0.6595937835495063,0.7499999999999999,0.6,-1.9977169423737184
same_set_grid,ALL_PRIMARY,,fused_patchcore_plus_full_image_0.10,patchcore_plus_full_image,0.1,243,70,173,0.626094137076796,0.8237866296399197,0.8357487922705313,0.720164609053498,-1.9561101348207721
same_set_grid,category,fruit_jelly,fused_patchcore_plus_full_image_0.10,patchcore_plus_full_image,0.1,40,10,30,0.7666666666666666,0.913788907636911,0.9090909090909091,0.85,-1.062137846207727
same_set_grid,category,sheet_metal,fused_patchcore_plus_full_image_0.10,patchcore_plus_full_image,0.1,57,12,45,0.7407407407407408,0.9149300337881633,0.9,0.8245614035087719,-1.363024705470216
same_set_grid,category,vial,fused_patchcore_plus_full_image_0.10,patchcore_plus_full_image,0.1,71,18,53,0.7075471698113207,0.8822319553312173,0.875,0.8028169014084507,-0.9521567826143198
same_set_grid,category,walnuts,fused_patchcore_plus_full_image_0.10,patchcore_plus_full_image,0.1,75,30,45,0.45629629629629626,0.6601640367374957,0.7499999999999999,0.6,-1.9561101348207721
same_set_grid,ALL_PRIMARY,,fused_patchcore_plus_full_image_0.11,patchcore_plus_full_image,0.11,243,70,173,0.628241123038811,0.825467526834442,0.8357487922705313,0.720164609053498,-1.9145033272678256
same_set_grid,category,fruit_jelly,fused_patchcore_plus_full_image_0.11,patchcore_plus_full_image,0.11,40,10,30,0.7666666666666666,0.913788907636911,0.9090909090909091,0.85,-1.0644978282265316
same_set_grid,category,sheet_metal,fused_patchcore_plus_full_image_0.11,patchcore_plus_full_image,0.11,57,12,45,0.7481481481481481,0.9184616068050304,0.9,0.8245614035087719,-1.3348829444615915
same_set_grid,category,vial,fused_patchcore_plus_full_image_0.11,patchcore_plus_full_image,0.11,71,18,53,0.7096436058700211,0.8834491169257375,0.875,0.8028169014084507,-0.9288827864176772
same_set_grid,category,walnuts,fused_patchcore_plus_full_image_0.11,patchcore_plus_full_image,0.11,75,30,45,0.45925925925925926,0.6636306988998101,0.7499999999999999,0.6,-1.9145033272678256
same_set_grid,ALL_PRIMARY,,fused_patchcore_plus_full_image_0.12,patchcore_plus_full_image,0.12,243,70,173,0.630635838150289,0.8271607772793614,0.8377723970944311,0.7242798353909465,-1.8728965197148797
same_set_grid,category,fruit_jelly,fused_patchcore_plus_full_image_0.12,patchcore_plus_full_image,0.12,40,10,30,0.7766666666666666,0.9179280433549941,0.9090909090909091,0.85,-1.066857810245336
same_set_grid,category,sheet_metal,fused_patchcore_plus_full_image_0.12,patchcore_plus_full_image,0.12,57,12,45,0.7481481481481481,0.9173485599602763,0.9,0.8245614035087719,-1.3067411834529665
same_set_grid,category,vial,fused_patchcore_plus_full_image_0.12,patchcore_plus_full_image,0.12,71,18,53,0.7096436058700211,0.8835679366713004,0.875,0.8028169014084507,-0.9056087902210346
same_set_grid,category,walnuts,fused_patchcore_plus_full_image_0.12,patchcore_plus_full_image,0.12,75,30,45,0.4644444444444444,0.6720927611033224,0.7563025210084033,0.6133333333333333,-1.8728965197148797
same_set_grid,ALL_PRIMARY,,fused_patchcore_plus_full_image_0.13,patchcore_plus_full_image,0.13,243,70,173,0.6336911643270025,0.8290007810646054,0.8377723970944311,0.7242798353909465,-1.8312897121619334
same_set_grid,category,fruit_jelly,fused_patchcore_plus_full_image_0.13,patchcore_plus_full_image,0.13,40,10,30,0.78,0.9193566147835655,0.9090909090909091,0.85,-1.0692177922641406
same_set_grid,category,sheet_metal,fused_patchcore_plus_full_image_0.13,patchcore_plus_full_image,0.13,57,12,45,0.75,0.917870134166061,0.9,0.8245614035087719,-1.2785994224443418
same_set_grid,category,vial,fused_patchcore_plus_full_image_0.13,patchcore_plus_full_image,0.13,71,18,53,0.7127882599580713,0.8850963257478413,0.875,0.8028169014084507,-0.8823347940243922
same_set_grid,category,walnuts,fused_patchcore_plus_full_image_0.13,patchcore_plus_full_image,0.13,75,30,45,0.4666666666666666,0.6750900424549662,0.7563025210084033,0.6133333333333333,-1.8312897121619334
same_set_grid,ALL_PRIMARY,,fused_patchcore_plus_full_image_0.14,patchcore_plus_full_image,0.14,243,70,173,0.6369116432700247,0.8316552920251229,0.8377723970944311,0.7242798353909465,-1.789682904608987
same_set_grid,category,fruit_jelly,fused_patchcore_plus_full_image_0.14,patchcore_plus_full_image,0.14,40,10,30,0.7833333333333333,0.9229114195883702,0.8955223880597014,0.825,-1.071577774282945
same_set_grid,category,sheet_metal,fused_patchcore_plus_full_image_0.14,patchcore_plus_full_image,0.14,57,12,45,0.7574074074074074,0.9219976703739414,0.9,0.8245614035087719,-1.250457661435717
same_set_grid,category,vial,fused_patchcore_plus_full_image_0.14,patchcore_plus_full_image,0.14,71,18,53,0.7117400419287212,0.885578902149095,0.875,0.8028169014084507,-0.8590607978277496
same_set_grid,category,walnuts,fused_patchcore_plus_full_image_0.14,patchcore_plus_full_image,0.14,75,30,45,0.47259259259259256,0.6835538020236943,0.7563025210084033,0.6133333333333333,-1.789682904608987
same_set_grid,ALL_PRIMARY,,fused_patchcore_plus_full_image_0.15,patchcore_plus_full_image,0.15,243,70,173,0.639141205615194,0.8333658119620062,0.8377723970944311,0.7242798353909465,-1.7480760970560412
same_set_grid,category,fruit_jelly,fused_patchcore_plus_full_image_0.15,patchcore_plus_full_image,0.15,40,10,30,0.78,0.9218973102409276,0.8955223880597014,0.825,-1.0739377563017494
same_set_grid,category,sheet_metal,fused_patchcore_plus_full_image_0.15,patchcore_plus_full_image,0.15,57,12,45,0.7592592592592592,0.9225765685998984,0.9,0.8245614035087719,-1.2223159004270923
same_set_grid,category,vial,fused_patchcore_plus_full_image_0.15,patchcore_plus_full_image,0.15,71,18,53,0.7127882599580713,0.8859837622835722,0.875,0.8028169014084507,-0.859734410831676
same_set_grid,category,walnuts,fused_patchcore_plus_full_image_0.15,patchcore_plus_full_image,0.15,75,30,45,0.4762962962962962,0.6870469095401671,0.7563025210084033,0.6133333333333333,-1.7480760970560412
same_set_grid,ALL_PRIMARY,,fused_patchcore_plus_full_image_0.16,patchcore_plus_full_image,0.16,243,70,173,0.6420313790255986,0.8350901656667098,0.8377723970944311,0.7242798353909465,-1.7085213774311452
same_set_grid,category,fruit_jelly,fused_patchcore_plus_full_image_0.16,patchcore_plus_full_image,0.16,40,10,30,0.78,0.9218973102409276,0.8955223880597014,0.825,-1.076297738320554
same_set_grid,category,sheet_metal,fused_patchcore_plus_full_image_0.16,patchcore_plus_full_image,0.16,57,12,45,0.7592592592592592,0.9225765685998984,0.9,0.8245614035087719,-1.1941741394184673
same_set_grid,category,vial,fused_patchcore_plus_full_image_0.16,patchcore_plus_full_image,0.16,71,18,53,0.7138364779874213,0.8865654820910278,0.875,0.8028169014084507,-0.8642722986922384
same_set_grid,category,walnuts,fused_patchcore_plus_full_image_0.16,patchcore_plus_full_image,0.16,75,30,45,0.477037037037037,0.6877203102135678,0.7563025210084033,0.6133333333333333,-1.7085213774311452
same_set_grid,ALL_PRIMARY,,fused_patchcore_plus_full_image_0.17,patchcore_plus_full_image,0.17,243,70,173,0.64467382328654,0.8365278774347584,0.8377723970944311,0.7242798353909465,-1.6990050066784157
same_set_grid,category,fruit_jelly,fused_patchcore_plus_full_image_0.17,patchcore_plus_full_image,0.17,40,10,30,0.7866666666666666,0.9252971497088784,0.8955223880597014,0.825,-1.0786577203393586
