dataset,category,num_test_images,num_test_normal,num_test_anomaly,image_auroc,image_ap,image_best_f1,image_best_threshold,pixel_auroc,pixel_ap,pixel_best_f1,pixel_best_threshold
VisA,candle,200,100,100,0.9866,0.9871566695728711,0.9560975609756097,0.5,0.9716745404403432,0.09648633036007079,0.18442155503693694,0.9047578708798278
VisA,capsules,160,60,100,0.7095000000000001,0.8412830747368191,0.7751937984496124,0.5,0.8720574753618584,0.05722959158064498,0.1308501063655703,0.9355335859691396
VisA,cashew,150,50,100,0.9703999999999999,0.9850174384126403,0.9423076923076923,0.5,0.7485577522623891,0.07314778341503943,0.14097813503080145,0.8435492363630557
VisA,chewinggum,150,50,100,0.9898,0.995700776549776,0.9748743718592965,0.5,0.9652657906657701,0.300522421967627,0.3844706829650917,0.8676550542607028
VisA,fryum,150,50,100,0.9504,0.9775279154151856,0.9090909090909091,0.5,0.7069707315317391,0.07755446451364433,0.13645652480386913,0.7531874163478028
VisA,macaroni1,200,100,100,0.8811,0.8739502504266913,0.8349514563106796,0.5,0.9496379671838224,0.03983446640104786,0.08504658068318335,0.9274691160987409
VisA,macaroni2,200,100,100,0.6979000000000001,0.6838133313710978,0.6880733944954128,0.5,0.9691262721549321,0.02244985338696338,0.055740740740740743,0.8985791802406311
VisA,pcb1,200,100,100,0.9424,0.9375173653551718,0.8857142857142857,0.5,0.8986818811748531,0.10451654698532474,0.2017604121940747,0.9094201001466491
VisA,pcb2,200,100,100,0.9366,0.9291277159787638,0.8855721393034826,0.5,0.9045840350885505,0.06396021807577669,0.13958803187490604,0.943116118627436
VisA,pcb3,201,101,100,0.9257425742574258,0.9312110982263616,0.8506787330316742,0.5,0.9656153428243628,0.12684929802974831,0.2191592987329825,0.8708922874693777
VisA,pcb4,201,101,100,0.9901980198019802,0.9899516884784831,0.9565217391304348,0.5,0.872195563626689,0.14348871122252693,0.24523901113616112,0.8831066173665665
VisA,pipe_fryum,150,50,100,0.9934000000000001,0.9967553613031336,0.9801980198019802,0.5,0.9031018761441297,0.15194163464453825,0.24057962805140234,0.7654824516352486
VisA,MEAN,2162,962,1200,0.9145033828382837,0.9274177238189162,0.8866061750392559,,0.8939557690382866,0.10483177671524606,0.1803575589679767,
