heldout_category,detector_only_fallback,selected_w_max,selected_q_quantile,selected_q_threshold,selected_tau_delta,selected_dev_macro_auroc,selected_dev_detector_auroc,selected_dev_delta_vs_detector,selected_dev_potential_call_rate,selected_dev_rank
candle,False,0.35,0.25,0.24434642685153096,0.75,0.9142950795079507,0.9073648514851486,0.006930228022802187,0.42048929663608564,1.0
capsules,False,0.35,0.25,0.24140247926151412,0.75,0.93863901890189,0.9332284878487851,0.005410531053104961,0.41208791208791207,1.0
cashew,False,0.35,0.25,0.26254248173960815,0.75,0.9155711971197118,0.9090012151215123,0.00656998199819947,0.4100397614314115,1.0
chewinggum,False,0.35,0.25,0.2361108740578542,0.75,0.9137481998199818,0.9066557605760576,0.00709243924392422,0.4100397614314115,1.0
fryum,False,0.35,0.25,0.2408458987406098,0.75,0.9164268976897688,0.9100557605760577,0.006371137113711067,0.4100397614314115,1.0
macaroni1,False,0.35,0.25,0.23828217850079597,0.75,0.9235208370837082,0.9180830333033305,0.005437803780377726,0.42048929663608564,1.0
macaroni2,False,0.35,0.25,0.2376558375792334,0.75,0.9389254725472547,0.9321012151215124,0.0068242574257422195,0.42048929663608564,1.0
pcb1,False,0.35,0.25,0.24329970252391564,0.75,0.9179268976897689,0.911037578757876,0.006889318931892818,0.42048929663608564,1.0
pcb2,False,0.35,0.25,0.2677066139550875,0.75,0.918933318331833,0.9122330333033305,0.006700285028502506,0.42048929663608564,1.0
pcb3,False,0.35,0.25,0.24208995326546062,0.75,0.9185997149714971,0.9119949144914493,0.0066048004800477456,0.42070372259051503,1.0
pcb4,False,0.35,0.25,0.2533052107035941,0.75,0.9136302130213022,0.9067653915391541,0.006864821482148065,0.42070372259051503,1.0
pipe_fryum,False,0.35,0.25,0.23864054504341625,0.75,0.9137844734473447,0.9064921242124214,0.007292349234923279,0.4100397614314115,1.0
